time,qty
2018-09-13,163
2018-09-14,146
2018-09-15,271
2018-09-16,241
2018-09-17,96
2018-09-18,79
2018-09-19,124
2018-09-20,114
2018-09-21,117
2018-09-22,298
2018-09-23,165
2018-09-24,75
2018-09-25,88
2018-09-26,137
2018-09-27,87
2018-09-28,118
2018-09-29,208
2018-09-30,200
2018-10-01,96
2018-10-02,153
2018-10-03,106
2018-10-04,129
2018-10-05,145
2018-10-06,306
2018-10-07,263
2018-10-08,73
2018-10-09,111
2018-10-10,94
2018-10-11,112
2018-10-12,146
2018-10-13,217
2018-10-14,202
2018-10-15,68
2018-10-16,66
2018-10-17,98
2018-10-18,99
2018-10-19,92
2018-10-20,222
2018-10-21,220
2018-10-22,77
2018-10-23,118
2018-10-24,96
2018-10-25,86
2018-10-26,88
2018-10-27,242
2018-10-28,164
2018-10-29,57
2018-10-30,86
2018-10-31,61
2018-11-01,172
2018-11-02,205
2018-11-03,241
2018-11-04,178
2018-11-05,76
2018-11-06,81
2018-11-07,86
2018-11-08,61
2018-11-09,86
2018-11-10,254
2018-11-11,180
2018-11-12,72
2018-11-13,81
2018-11-14,97
2018-11-15,105
2018-11-16,94
2018-11-17,260
2018-11-18,236
2018-11-19,66
2018-11-20,83
2018-11-21,74
2018-11-22,220
2018-11-23,535
2018-11-24,480
2018-11-25,444
2018-11-26,138
2018-11-27,78
2018-11-28,91
2018-11-29,96
2018-11-30,133
2018-12-01,222
2018-12-02,209
2018-12-03,91
2018-12-04,85
2018-12-05,114
2018-12-06,130
2018-12-07,150
2018-12-08,281
2018-12-09,241
2018-12-10,96
2018-12-11,123
2018-12-12,131
2018-12-13,121
2018-12-14,140
2018-12-15,289
2018-12-16,331
2018-12-17,193
2018-12-18,152
2018-12-19,186
2018-12-20,217
2018-12-21,252
2018-12-22,283
2018-12-23,252
2018-12-24,144
2018-12-25,0
2018-12-26,102
2018-12-27,140
2018-12-28,153
2018-12-29,167
2018-12-30,207
2018-12-31,99
2019-01-01,0
2019-01-02,163
2019-01-03,159
2019-01-04,209
2019-01-05,481
2019-01-06,339
2019-01-07,177
2019-01-08,146
2019-01-09,197
2019-01-10,158
2019-01-11,195
2019-01-12,375
2019-01-13,355
2019-01-14,145
2019-01-15,148
2019-01-16,129
2019-01-17,142
2019-01-18,175
2019-01-19,296
2019-01-20,298
2019-01-21,93
2019-01-22,92
2019-01-23,152
2019-01-24,136
2019-01-25,171
2019-01-26,263
2019-01-27,284
2019-01-28,110
2019-01-29,105
2019-01-30,101
2019-01-31,99
2019-02-01,120
2019-02-02,277
2019-02-03,278
2019-02-04,81
2019-02-05,102
2019-02-06,84
2019-02-07,77
2019-02-08,125
2019-02-09,253
2019-02-10,252
2019-02-11,81
2019-02-12,67
2019-02-13,67
2019-02-14,75
2019-02-15,100
2019-02-16,176
2019-02-17,128
2019-02-18,70
2019-02-19,64
2019-02-20,110
2019-02-21,45
2019-02-22,114
2019-02-23,167
2019-02-24,194
2019-02-25,71
2019-02-26,90
2019-02-27,66
2019-02-28,104
2019-03-01,151
2019-03-02,175
2019-03-03,145
2019-03-04,69
2019-03-05,91
2019-03-06,64
2019-03-07,52
2019-03-08,100
2019-03-09,178
2019-03-10,178
2019-03-11,57
2019-03-12,78
2019-03-13,86
2019-03-14,68
2019-03-15,93
2019-03-16,174
2019-03-17,169
2019-03-18,79
2019-03-19,52
2019-03-20,75
2019-03-21,67
2019-03-22,81
2019-03-23,162
2019-03-24,167
2019-03-25,70
2019-03-26,63
2019-03-27,121
2019-03-28,83
2019-03-29,81
2019-03-30,162
2019-03-31,186
2019-04-01,58
2019-04-02,85
2019-04-03,105
2019-04-04,82
2019-04-05,149
2019-04-06,170
2019-04-07,225
2019-04-08,98
2019-04-09,67
2019-04-10,74
2019-04-11,108
2019-04-12,92
2019-04-13,185
2019-04-14,186
2019-04-15,108
2019-04-16,124
2019-04-17,108
2019-04-18,139
2019-04-19,160
2019-04-20,238
2019-04-21,0
2019-04-22,224
2019-04-23,180
2019-04-24,135
2019-04-25,155
2019-04-26,205
2019-04-27,151
2019-04-28,221
2019-04-29,101
2019-04-30,106
2019-05-01,0
2019-05-02,148
2019-05-03,117
2019-05-04,306
2019-05-05,264
2019-05-06,96
2019-05-07,86
2019-05-08,76
2019-05-09,93
2019-05-10,133
2019-05-11,294
2019-05-12,258
2019-05-13,102
2019-05-14,78
2019-05-15,112
2019-05-16,83
2019-05-17,133
2019-05-18,253
2019-05-19,220
2019-05-20,92
2019-05-21,80
2019-05-22,117
2019-05-23,111
2019-05-24,144
2019-05-25,231
2019-05-26,260
2019-05-27,101
2019-05-28,78
2019-05-29,82
2019-05-30,110
2019-05-31,126
2019-06-01,248
2019-06-02,239
2019-06-03,126
2019-06-04,109
2019-06-05,172
2019-06-06,156
2019-06-07,188
2019-06-08,273
2019-06-09,287
2019-06-10,119
2019-06-11,133
2019-06-12,127
2019-06-13,156
2019-06-14,183
2019-06-15,315
2019-06-16,230
2019-06-17,160
2019-06-18,134
2019-06-19,176
2019-06-20,143
2019-06-21,136
2019-06-22,290
2019-06-23,174
2019-06-24,127
2019-06-25,101
2019-06-26,125
2019-06-27,197
2019-06-28,237
2019-06-29,353
2019-06-30,289
2019-07-01,160
2019-07-02,150
2019-07-03,148
2019-07-04,199
2019-07-05,188
2019-07-06,485
2019-07-07,434
2019-07-08,279
2019-07-09,280
2019-07-10,310
2019-07-11,241
2019-07-12,240
2019-07-13,313
2019-07-14,346
2019-07-15,174
2019-07-16,138
2019-07-17,172
2019-07-18,153
2019-07-19,183
2019-07-20,317
2019-07-21,299
2019-07-22,141
2019-07-23,170
2019-07-24,149
2019-07-25,172
2019-07-26,175
2019-07-27,276
2019-07-28,398
2019-07-29,135
2019-07-30,196
2019-07-31,186
2019-08-01,139
2019-08-02,200
2019-08-03,262
2019-08-04,196
2019-08-05,106
2019-08-06,125
2019-08-07,114
2019-08-08,127
2019-08-09,142
2019-08-10,133
2019-08-11,154
2019-08-12,111
2019-08-13,114
2019-08-14,116
2019-08-15,53
2019-08-16,88
2019-08-17,136
2019-08-18,102
