time,qty
2017-08-30,152
2017-08-31,98
2017-09-01,98
2017-09-02,114
2017-09-03,88
2017-09-04,61
2017-09-05,83
2017-09-06,118
2017-09-07,109
2017-09-08,98
2017-09-09,124
2017-09-10,77
2017-09-11,101
2017-09-12,103
2017-09-13,104
2017-09-14,103
2017-09-15,114
2017-09-16,115
2017-09-17,106
2017-09-18,116
2017-09-19,69
2017-09-20,109
2017-09-21,169
2017-09-22,117
2017-09-23,116
2017-09-24,92
2017-09-25,62
2017-09-26,94
2017-09-27,84
2017-09-28,146
2017-09-29,133
2017-09-30,228
2017-10-01,144
2017-10-02,103
2017-10-03,65
2017-10-04,115
2017-10-05,84
2017-10-06,102
2017-10-07,129
2017-10-08,95
2017-10-09,137
2017-10-10,74
2017-10-11,78
2017-10-12,97
2017-10-13,104
2017-10-14,167
2017-10-15,100
2017-10-16,103
2017-10-17,120
2017-10-18,143
2017-10-19,100
2017-10-20,116
2017-10-21,144
2017-10-22,99
2017-10-23,75
2017-10-24,100
2017-10-25,74
2017-10-26,93
2017-10-27,93
2017-10-28,121
2017-10-29,103
2017-10-30,112
2017-10-31,112
2017-11-01,94
2017-11-02,110
2017-11-03,152
2017-11-04,182
2017-11-05,123
2017-11-06,122
2017-11-07,72
2017-11-08,100
2017-11-09,70
2017-11-10,126
2017-11-11,139
2017-11-12,119
2017-11-13,86
2017-11-14,87
2017-11-15,92
2017-11-16,112
2017-11-17,61
2017-11-18,140
2017-11-19,126
2017-11-20,53
2017-11-21,63
2017-11-22,63
2017-11-23,68
2017-11-24,276
2017-11-25,219
2017-11-26,177
2017-11-27,136
2017-11-28,39
2017-11-29,69
2017-11-30,92
2017-12-01,82
2017-12-02,109
2017-12-03,116
2017-12-04,88
2017-12-05,72
2017-12-06,81
2017-12-07,80
2017-12-08,129
2017-12-09,173
2017-12-10,99
2017-12-11,60
2017-12-12,77
2017-12-13,100
2017-12-14,50
2017-12-15,43
2017-12-16,130
2017-12-17,109
2017-12-18,105
2017-12-19,99
2017-12-20,79
2017-12-21,78
2017-12-22,94
2017-12-23,112
2017-12-24,66
2017-12-25,0
2017-12-26,50
2017-12-27,39
2017-12-28,63
2017-12-29,121
2017-12-30,114
2017-12-31,90
2018-01-01,98
2018-01-02,75
2018-01-03,110
2018-01-04,88
2018-01-05,186
2018-01-06,184
2018-01-07,134
2018-01-08,106
2018-01-09,65
2018-01-10,105
2018-01-11,101
2018-01-12,98
2018-01-13,178
2018-01-14,140
2018-01-15,76
2018-01-16,88
2018-01-17,90
2018-01-18,104
2018-01-19,179
2018-01-20,199
2018-01-21,187
2018-01-22,135
2018-01-23,103
2018-01-24,104
2018-01-25,124
2018-01-26,173
2018-01-27,184
2018-01-28,219
2018-01-29,128
2018-01-30,125
2018-01-31,97
2018-02-01,171
2018-02-02,139
2018-02-03,195
2018-02-04,162
2018-02-05,127
2018-02-06,127
2018-02-07,90
2018-02-08,111
2018-02-09,117
2018-02-10,153
2018-02-11,101
2018-02-12,82
2018-02-13,119
2018-02-14,119
2018-02-15,142
2018-02-16,112
2018-02-17,129
2018-02-18,88
2018-02-19,73
2018-02-20,88
2018-02-21,93
2018-02-22,79
2018-02-23,53
2018-02-24,107
2018-02-25,71
2018-02-26,58
2018-02-27,67
2018-02-28,65
2018-03-01,80
2018-03-02,112
