time,qty
2017-05-11,99
2017-05-12,132
2017-05-13,262
2017-05-14,122
2017-05-15,60
2017-05-16,101
2017-05-17,79
2017-05-18,74
2017-05-19,123
2017-05-20,184
2017-05-21,127
2017-05-22,48
2017-05-23,72
2017-05-24,106
2017-05-25,141
2017-05-26,124
2017-05-27,182
2017-05-28,128
2017-05-29,56
2017-05-30,76
2017-05-31,86
2017-06-01,135
2017-06-02,162
2017-06-03,157
2017-06-04,134
2017-06-05,76
2017-06-06,79
2017-06-07,78
2017-06-08,114
2017-06-09,86
2017-06-10,183
2017-06-11,89
2017-06-12,50
2017-06-13,66
2017-06-14,121
2017-06-15,86
2017-06-16,104
2017-06-17,155
2017-06-18,124
2017-06-19,73
2017-06-20,105
2017-06-21,92
2017-06-22,45
2017-06-23,124
2017-06-24,231
2017-06-25,166
2017-06-26,82
2017-06-27,95
2017-06-28,129
2017-06-29,142
2017-06-30,98
2017-07-01,314
2017-07-02,258
2017-07-03,123
2017-07-04,140
2017-07-05,130
2017-07-06,114
2017-07-07,119
2017-07-08,234
2017-07-09,224
2017-07-10,103
2017-07-11,110
2017-07-12,132
2017-07-13,116
2017-07-14,139
2017-07-15,179
2017-07-16,163
2017-07-17,113
2017-07-18,96
2017-07-19,188
2017-07-20,215
2017-07-21,225
2017-07-22,275
2017-07-23,197
2017-07-24,137
2017-07-25,161
2017-07-26,117
2017-07-27,149
2017-07-28,150
2017-07-29,208
2017-07-30,225
2017-07-31,112
2017-08-01,83
2017-08-02,164
2017-08-03,164
2017-08-04,156
2017-08-05,219
2017-08-06,178
2017-08-07,149
2017-08-08,115
2017-08-09,118
2017-08-10,97
2017-08-11,102
2017-08-12,105
2017-08-13,86
2017-08-14,76
2017-08-15,0
2017-08-16,70
2017-08-17,60
2017-08-18,71
2017-08-19,100
2017-08-20,110
2017-08-21,50
2017-08-22,74
2017-08-23,85
2017-08-24,75
2017-08-25,105
2017-08-26,77
2017-08-27,83
2017-08-28,80
2017-08-29,63
2017-08-30,52
2017-08-31,64
2017-09-01,65
2017-09-02,99
2017-09-03,63
2017-09-04,34
2017-09-05,59
2017-09-06,37
2017-09-07,53
2017-09-08,68
2017-09-09,91
2017-09-10,97
2017-09-11,41
2017-09-12,34
2017-09-13,37
2017-09-14,37
2017-09-15,53
2017-09-16,100
2017-09-17,81
2017-09-18,73
2017-09-19,81
2017-09-20,57
2017-09-21,46
2017-09-22,66
2017-09-23,130
2017-09-24,80
2017-09-25,35
2017-09-26,50
2017-09-27,79
2017-09-28,53
2017-09-29,79
2017-09-30,129
2017-10-01,80
2017-10-02,60
2017-10-03,67
2017-10-04,78
2017-10-05,53
2017-10-06,71
2017-10-07,117
2017-10-08,95
2017-10-09,29
2017-10-10,37
2017-10-11,61
2017-10-12,54
2017-10-13,49
2017-10-14,118
2017-10-15,70
2017-10-16,56
2017-10-17,44
2017-10-18,72
2017-10-19,38
