time,qty
2019-09-18,1
2019-09-19,0
2019-09-20,0
2019-09-21,65
2019-09-22,87
2019-09-23,39
2019-09-24,60
2019-09-25,56
2019-09-26,39
2019-09-27,68
2019-09-28,76
2019-09-29,37
2019-09-30,60
2019-10-01,36
2019-10-02,44
2019-10-03,54
2019-10-04,49
2019-10-05,95
2019-10-06,53
2019-10-07,26
2019-10-08,41
2019-10-09,44
2019-10-10,47
2019-10-11,76
2019-10-12,122
2019-10-13,64
2019-10-14,28
2019-10-15,43
2019-10-16,40
2019-10-17,43
2019-10-18,35
2019-10-19,80
2019-10-20,74
2019-10-21,34
2019-10-22,33
2019-10-23,38
2019-10-24,44
2019-10-25,47
2019-10-26,88
2019-10-27,52
2019-10-28,30
2019-10-29,30
2019-10-30,33
2019-10-31,52
2019-11-01,49
2019-11-02,69
2019-11-03,77
2019-11-04,35
2019-11-05,47
2019-11-06,24
2019-11-07,48
2019-11-08,42
2019-11-09,77
2019-11-10,68
2019-11-11,39
2019-11-12,55
2019-11-13,44
2019-11-14,30
2019-11-15,64
2019-11-16,80
2019-11-17,60
2019-11-18,23
2019-11-19,16
2019-11-20,37
2019-11-21,38
2019-11-22,53
2019-11-23,94
2019-11-24,75
2019-11-25,22
2019-11-26,44
2019-11-27,10
2019-11-28,152
2019-11-29,157
2019-11-30,160
2019-12-01,138
2019-12-02,114
2019-12-03,37
2019-12-04,45
2019-12-05,44
2019-12-06,37
2019-12-07,74
2019-12-08,76
2019-12-09,36
2019-12-10,37
2019-12-11,42
2019-12-12,44
2019-12-13,75
2019-12-14,105
2019-12-15,104
2019-12-16,60
2019-12-17,78
2019-12-18,60
2019-12-19,91
2019-12-20,84
2019-12-21,139
2019-12-22,136
2019-12-23,112
2019-12-24,136
2019-12-25,0
2019-12-26,0
2019-12-27,71
2019-12-28,62
2019-12-29,66
2019-12-30,58
2019-12-31,79
