time,qty
2016-01-02,127
2016-01-03,105
2016-01-04,86
2016-01-05,213
2016-01-06,299
2016-01-07,104
2016-01-08,147
2016-01-09,191
2016-01-10,239
2016-01-11,69
2016-01-12,88
2016-01-13,87
2016-01-14,108
2016-01-15,121
2016-01-16,196
2016-01-17,221
2016-01-18,75
2016-01-19,58
2016-01-20,86
2016-01-21,77
2016-01-22,79
2016-01-23,202
2016-01-24,173
2016-01-25,80
2016-01-26,117
2016-01-27,101
2016-01-28,91
2016-01-29,97
2016-01-30,180
2016-01-31,194
2016-02-01,58
2016-02-02,86
2016-02-03,104
2016-02-04,129
2016-02-05,118
2016-02-06,166
2016-02-07,173
2016-02-08,81
2016-02-09,69
2016-02-10,58
2016-02-11,104
2016-02-12,80
2016-02-13,249
2016-02-14,241
2016-02-15,42
2016-02-16,79
2016-02-17,106
2016-02-18,83
2016-02-19,74
2016-02-20,112
2016-02-21,162
2016-02-22,44
2016-02-23,65
2016-02-24,85
2016-02-25,88
2016-02-26,95
2016-02-27,107
2016-02-28,153
2016-02-29,54
2016-03-01,49
2016-03-02,48
2016-03-03,80
2016-03-04,63
2016-03-05,88
2016-03-06,118
2016-03-07,34
2016-03-08,36
2016-03-09,29
2016-03-10,54
2016-03-11,67
2016-03-12,104
2016-03-13,81
2016-03-14,29
2016-03-15,55
2016-03-16,49
2016-03-17,58
2016-03-18,65
2016-03-19,177
2016-03-20,79
2016-03-21,31
2016-03-22,40
2016-03-23,71
2016-03-24,51
2016-03-25,99
2016-03-26,86
2016-03-27,0
2016-03-28,78
2016-03-29,44
2016-03-30,38
2016-03-31,47
2016-04-01,54
2016-04-02,105
2016-04-03,125
2016-04-04,49
2016-04-05,57
2016-04-06,42
2016-04-07,62
2016-04-08,64
2016-04-09,76
2016-04-10,116
2016-04-11,57
2016-04-12,65
2016-04-13,55
2016-04-14,60
2016-04-15,86
2016-04-16,128
2016-04-17,114
2016-04-18,54
2016-04-19,53
2016-04-20,74
2016-04-21,42
2016-04-22,62
2016-04-23,137
2016-04-24,91
2016-04-25,78
2016-04-26,28
2016-04-27,40
2016-04-28,45
2016-04-29,88
2016-04-30,140
2016-05-01,200
2016-05-02,92
2016-05-03,73
2016-05-04,59
2016-05-05,82
2016-05-06,105
2016-05-07,125
2016-05-08,75
2016-05-09,43
2016-05-10,53
2016-05-11,47
2016-05-12,54
2016-05-13,78
2016-05-14,139
2016-05-15,87
2016-05-16,54
2016-05-17,47
2016-05-18,61
2016-05-19,74
2016-05-20,106
2016-05-21,116
2016-05-22,91
2016-05-23,52
2016-05-24,52
2016-05-25,58
2016-05-26,66
2016-05-27,67
2016-05-28,96
2016-05-29,81
2016-05-30,35
2016-05-31,49
2016-06-01,59
2016-06-02,117
2016-06-03,91
2016-06-04,93
2016-06-05,99
2016-06-06,56
2016-06-07,47
2016-06-08,62
2016-06-09,34
2016-06-10,48
2016-06-11,107
2016-06-12,88
2016-06-13,57
2016-06-14,34
2016-06-15,36
2016-06-16,60
2016-06-17,76
2016-06-18,111
2016-06-19,95
2016-06-20,46
2016-06-21,34
2016-06-22,75
2016-06-23,50
2016-06-24,112
2016-06-25,84
2016-06-26,94
2016-06-27,64
2016-06-28,77
2016-06-29,73
2016-06-30,79
2016-07-01,86
2016-07-02,210
2016-07-03,227
2016-07-04,115
2016-07-05,117
2016-07-06,162
2016-07-07,167
2016-07-08,162
2016-07-09,192
2016-07-10,193
2016-07-11,103
2016-07-12,128
2016-07-13,143
2016-07-14,164
2016-07-15,177
2016-07-16,155
2016-07-17,170
2016-07-18,87
2016-07-19,105
2016-07-20,131
2016-07-21,112
2016-07-22,115
2016-07-23,158
2016-07-24,182
2016-07-25,89
2016-07-26,96
2016-07-27,122
2016-07-28,117
2016-07-29,111
2016-07-30,157
2016-07-31,152
2016-08-01,116
2016-08-02,80
2016-08-03,136
2016-08-04,110
2016-08-05,121
2016-08-06,125
2016-08-07,112
2016-08-08,99
2016-08-09,112
2016-08-10,92
2016-08-11,104
2016-08-12,85
2016-08-13,122
2016-08-14,97
2016-08-15,0
2016-08-16,88
2016-08-17,65
2016-08-18,65
2016-08-19,64
2016-08-20,104
2016-08-21,83
2016-08-22,75
2016-08-23,84
2016-08-24,72
2016-08-25,72
2016-08-26,85
2016-08-27,59
2016-08-28,86
2016-08-29,46
2016-08-30,44
2016-08-31,46
2016-09-01,40
2016-09-02,61
2016-09-03,52
2016-09-04,79
2016-09-05,40
2016-09-06,37
2016-09-07,48
2016-09-08,57
2016-09-09,49
2016-09-10,70
2016-09-11,56
2016-09-12,27
2016-09-13,31
2016-09-14,31
2016-09-15,42
2016-09-16,52
2016-09-17,89
2016-09-18,76
2016-09-19,41
2016-09-20,38
2016-09-21,38
2016-09-22,48
2016-09-23,56
2016-09-24,53
2016-09-25,40
2016-09-26,41
2016-09-27,50
