time,qty,sin_day,cos_day,sincos_day,day_of_week,TMEDIA °C,TMIN °C,TMAX °C,PUNTORUGIADA °C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,conditions
2019-09-18,1,-0.9760105506323682,-0.21772323039653224,0.2125001699847774,2,22.0,18.0,26.0,18.0,77.0,20.0,7.0,13.0,0.0,1015.0,-1
2019-09-19,0,-0.9796136916454901,-0.2008905551306353,0.1967951383282335,3,17.0,16.0,20.0,16.0,91.0,9.0,9.0,21.0,0.0,1020.0,-1
2019-09-20,0,-0.9829265519799822,-0.1839983516576799,0.18085686536488355,4,18.0,16.0,20.0,12.0,68.0,21.0,9.0,13.0,0.0,1025.0,1
2019-09-21,65,-0.9859481499638303,-0.1670516255021195,0.16470424111226534,5,17.0,14.0,20.0,11.0,68.0,20.0,5.0,9.0,0.0,1024.0,1
2019-09-22,87,-0.9886775902323404,-0.15005539834465262,0.14835640963674507,6,16.0,14.0,18.0,12.0,79.0,18.0,5.0,13.0,0.0,1019.0,1
2019-09-23,39,-0.9911140639934546,-0.13301470653419636,0.13183274636400408,0,17.0,14.0,22.0,13.0,77.0,15.0,5.0,13.0,0.0,1014.0,-1
2019-09-24,60,-0.9932568492674143,-0.11593459959550065,0.11515283511530622,1,17.0,12.0,22.0,11.0,71.0,21.0,6.0,11.0,0.0,1014.0,1
2019-09-25,56,-0.9951053111006974,-0.09882013873287211,0.09833644489678879,2,18.0,13.0,24.0,13.0,72.0,21.0,5.0,11.0,0.0,1010.0,1
2019-09-26,39,-0.99665890175417,-0.08167639533042287,0.08140350646925867,3,18.0,15.0,23.0,14.0,77.0,14.0,6.0,11.0,0.0,1014.0,1
2019-09-27,68,-0.9979171608653922,-0.06450844944931713,0.06437408872629123,4,20.0,17.0,23.0,16.0,79.0,10.0,6.0,11.0,0.0,1017.0,1
2019-09-28,76,-0.9988797155850335,-0.047321388322432316,0.04726837490860012,5,19.0,15.0,24.0,15.0,75.0,17.0,5.0,9.0,0.0,1016.0,1
2019-09-29,37,-0.9995462806873573,-0.03012030484690836,0.030106638682896633,6,20.0,16.0,24.0,15.0,75.0,20.0,5.0,9.0,0.0,1015.0,1
2019-09-30,60,-0.9999166586547379,-0.012910296075008843,0.01290922011356622,0,19.0,14.0,25.0,14.0,75.0,19.0,6.0,13.0,0.0,1011.0,1
2019-10-01,36,-0.9999907397361901,0.004303538296243821,-0.004303498444343882,1,19.0,13.0,24.0,14.0,73.0,20.0,6.0,11.0,0.0,1012.0,-1
2019-10-02,44,-0.9997685019798909,0.021516097436222233,-0.02151111650226527,2,19.0,14.0,24.0,13.0,72.0,19.0,7.0,15.0,0.0,1005.0,-1
2019-10-03,54,-0.9992500112396835,0.03872228089217399,-0.038693239616731046,3,16.0,10.0,22.0,5.0,43.0,19.0,7.0,11.0,0.0,1011.0,1
2019-10-04,49,-0.9984354211555643,0.05591699010060302,-0.055829503560847094,4,14.0,9.0,19.0,6.0,59.0,21.0,8.0,15.0,0.0,1013.0,1
2019-10-05,95,-0.9973249731081556,0.07309512989807687,-0.07289959845993665,5,15.0,7.0,22.0,7.0,66.0,21.0,6.0,11.0,0.0,1010.0,1
2019-10-06,53,-0.9959189961471792,0.09025161003104071,-0.08988329286278075,6,15.0,9.0,19.0,10.0,73.0,15.0,7.0,13.0,0.0,1013.0,1
2019-10-07,26,-0.9942179068939521,0.10738134666416219,-0.10676045771989719,0,16.0,11.0,21.0,10.0,71.0,12.0,7.0,18.0,0.0,1013.0,-1
2019-10-08,41,-0.9922222094179324,0.12447926388678869,-0.12351109024046732,1,14.0,8.0,19.0,9.0,71.0,18.0,7.0,11.0,0.0,1019.0,1
2019-10-09,44,-0.989932495087353,0.14154029521704298,-0.1401153375996079,2,14.0,14.0,15.0,12.0,87.0,11.0,6.0,15.0,0.0,1017.0,-1
2019-10-10,47,-0.9873494423939864,0.15855938510313472,-0.1565535204679134,3,14.0,11.0,19.0,10.0,80.0,9.0,5.0,13.0,0.0,1016.0,1
2019-10-11,76,-0.9844738167520923,0.17553149042142774,-0.1728061563353663,4,14.0,8.0,20.0,8.0,71.0,21.0,6.0,11.0,0.0,1023.0,1
2019-10-12,122,-0.9813064702716093,0.19245158197082993,-0.1888539826019824,5,14.0,9.0,20.0,10.0,75.0,13.0,4.0,9.0,0.0,1024.0,1
2019-10-13,64,-0.9778483415056569,0.209314645963048,-0.20467797940781024,6,15.0,10.0,20.0,11.0,78.0,8.0,5.0,9.0,0.0,1024.0,1
2019-10-14,28,-0.9741004551724206,0.22611568550828803,-0.2202593921752473,0,16.0,14.0,20.0,12.0,75.0,12.0,4.0,11.0,0.0,1022.0,1
2019-10-15,43,-0.9700639218515072,0.24284972209593492,-0.23557975383693125,1,15.0,13.0,17.0,14.0,94.0,9.0,8.0,18.0,0.0,1012.0,-1
2019-10-16,40,-0.965739937654855,0.25951179706979943,-0.2506209067228875,2,14.0,10.0,20.0,10.0,77.0,16.0,6.0,11.0,0.0,1016.0,1
2019-10-17,43,-0.961129783872301,0.276096973097468,-0.2653650240809659,3,15.0,10.0,20.0,10.0,76.0,21.0,5.0,9.0,0.0,1019.0,1
2019-10-18,35,-0.9562348265919058,0.2926003356333479,-0.2797946312050879,4,15.0,13.0,17.0,13.0,87.0,9.0,5.0,8.0,0.0,1018.0,1
2019-10-19,80,-0.9510565162951536,0.30901699437494723,-0.2938926261462364,5,15.0,14.0,16.0,14.0,94.0,4.0,7.0,11.0,0.0,1015.0,-1
