time,qty
2016-04-14,119
2016-04-15,119
2016-04-16,206
2016-04-17,211
2016-04-18,85
2016-04-19,90
2016-04-20,75
2016-04-21,103
2016-04-22,133
2016-04-23,246
2016-04-24,212
2016-04-25,267
2016-04-26,93
2016-04-27,93
2016-04-28,85
2016-04-29,118
2016-04-30,191
2016-05-01,230
2016-05-02,134
2016-05-03,78
2016-05-04,91
2016-05-05,153
2016-05-06,149
2016-05-07,218
2016-05-08,203
2016-05-09,89
2016-05-10,55
2016-05-11,75
2016-05-12,139
2016-05-13,108
2016-05-14,211
2016-05-15,242
2016-05-16,131
2016-05-17,75
2016-05-18,126
2016-05-19,142
2016-05-20,173
2016-05-21,189
2016-05-22,203
2016-05-23,91
2016-05-24,89
2016-05-25,115
2016-05-26,186
2016-05-27,146
2016-05-28,198
2016-05-29,290
2016-05-30,117
2016-05-31,104
2016-06-01,91
2016-06-02,253
2016-06-03,247
2016-06-04,176
2016-06-05,147
2016-06-06,91
2016-06-07,81
2016-06-08,110
2016-06-09,90
2016-06-10,121
2016-06-11,241
2016-06-12,240
2016-06-13,109
2016-06-14,87
2016-06-15,116
2016-06-16,103
2016-06-17,79
2016-06-18,213
2016-06-19,220
2016-06-20,95
2016-06-21,92
2016-06-22,87
2016-06-23,99
2016-06-24,182
2016-06-25,274
2016-06-26,321
2016-06-27,115
2016-06-28,117
2016-06-29,218
2016-06-30,156
2016-07-01,130
2016-07-02,439
2016-07-03,515
2016-07-04,306
2016-07-05,218
2016-07-06,214
2016-07-07,247
2016-07-08,215
2016-07-09,402
2016-07-10,431
2016-07-11,222
2016-07-12,163
2016-07-13,212
2016-07-14,184
2016-07-15,186
2016-07-16,310
2016-07-17,296
2016-07-18,161
2016-07-19,114
2016-07-20,177
2016-07-21,150
2016-07-22,152
2016-07-23,279
2016-07-24,265
2016-07-25,120
2016-07-26,66
2016-07-27,139
2016-07-28,147
2016-07-29,100
2016-07-30,257
2016-07-31,349
2016-08-01,153
2016-08-02,156
2016-08-03,176
2016-08-04,163
2016-08-05,151
2016-08-06,208
2016-08-07,211
2016-08-08,165
2016-08-09,186
2016-08-10,168
2016-08-11,128
2016-08-12,113
2016-08-13,113
2016-08-14,134
2016-08-15,62
2016-08-16,139
2016-08-17,133
2016-08-18,145
2016-08-19,119
2016-08-20,175
2016-08-21,120
2016-08-22,116
2016-08-23,109
2016-08-24,141
2016-08-25,119
2016-08-26,141
2016-08-27,133
2016-08-28,179
2016-08-29,83
2016-08-30,84
2016-08-31,67
2016-09-01,68
2016-09-02,59
2016-09-03,150
2016-09-04,119
2016-09-05,57
2016-09-06,48
2016-09-07,55
2016-09-08,81
2016-09-09,67
2016-09-10,183
2016-09-11,112
2016-09-12,23
2016-09-13,37
2016-09-14,67
2016-09-15,85
2016-09-16,70
2016-09-17,169
2016-09-18,193
2016-09-19,73
2016-09-20,55
2016-09-21,79
2016-09-22,64
2016-09-23,76
2016-09-24,147
2016-09-25,117
2016-09-26,56
2016-09-27,53
2016-09-28,60
2016-09-29,60
2016-09-30,75
2016-10-01,205
2016-10-02,197
2016-10-03,61
2016-10-04,69
2016-10-05,54
2016-10-06,65
2016-10-07,67
2016-10-08,171
2016-10-09,179
2016-10-10,70
2016-10-11,43
2016-10-12,65
2016-10-13,50
2016-10-14,96
2016-10-15,219
2016-10-16,208
2016-10-17,48
2016-10-18,78
2016-10-19,90
2016-10-20,82
2016-10-21,119
2016-10-22,163
2016-10-23,195
2016-10-24,82
2016-10-25,64
2016-10-26,56
2016-10-27,65
2016-10-28,104
2016-10-29,142
2016-10-30,183
2016-10-31,210
2016-11-01,163
2016-11-02,72
2016-11-03,93
2016-11-04,48
2016-11-05,180
2016-11-06,195
2016-11-07,46
2016-11-08,54
2016-11-09,47
2016-11-10,50
2016-11-11,94
2016-11-12,136
2016-11-13,150
2016-11-14,53
2016-11-15,59
2016-11-16,86
2016-11-17,58
2016-11-18,70
2016-11-19,138
2016-11-20,120
2016-11-21,63
2016-11-22,37
2016-11-23,60
2016-11-24,59
2016-11-25,221
2016-11-26,247
2016-11-27,222
2016-11-28,50
2016-11-29,68
2016-11-30,72
2016-12-01,62
2016-12-02,81
2016-12-03,149
2016-12-04,129
2016-12-05,71
2016-12-06,41
2016-12-07,153
2016-12-08,203
2016-12-09,216
2016-12-10,129
2016-12-11,165
2016-12-12,123
2016-12-13,78
2016-12-14,126
2016-12-15,89
2016-12-16,164
2016-12-17,186
2016-12-18,214
2016-12-19,88
2016-12-20,108
2016-12-21,175
2016-12-22,98
2016-12-23,128
2016-12-24,83
2016-12-25,0
2016-12-26,0
2016-12-27,119
2016-12-28,136
2016-12-29,154
2016-12-30,212
2016-12-31,104
2017-01-01,0
