time,qty
2019-10-31,77
2019-11-01,90
2019-11-02,132
2019-11-03,113
2019-11-04,36
2019-11-05,52
2019-11-06,43
2019-11-07,68
2019-11-08,62
2019-11-09,137
2019-11-10,109
2019-11-11,43
2019-11-12,70
2019-11-13,66
2019-11-14,54
2019-11-15,77
2019-11-16,116
2019-11-17,97
2019-11-18,48
2019-11-19,32
2019-11-20,41
2019-11-21,28
2019-11-22,75
2019-11-23,130
2019-11-24,116
2019-11-25,25
2019-11-26,51
2019-11-27,29
2019-11-28,83
2019-11-29,262
2019-11-30,243
2019-12-01,177
2019-12-02,95
2019-12-03,44
2019-12-04,40
2019-12-05,54
2019-12-06,68
2019-12-07,108
2019-12-08,136
2019-12-09,68
2019-12-10,98
2019-12-11,86
2019-12-12,100
2019-12-13,57
2019-12-14,193
2019-12-15,180
2019-12-16,79
2019-12-17,116
2019-12-18,109
2019-12-19,88
2019-12-20,110
2019-12-21,214
2019-12-22,172
2019-12-23,148
2019-12-24,128
2019-12-25,0
2019-12-26,62
2019-12-27,85
2019-12-28,100
2019-12-29,107
2019-12-30,88
2019-12-31,61
