time,qty
2016-01-02,43
2016-01-03,46
2016-01-04,31
2016-01-05,165
2016-01-06,143
2016-01-07,78
2016-01-08,97
2016-01-09,150
2016-01-10,73
2016-01-11,79
2016-01-12,81
2016-01-13,74
2016-01-14,57
2016-01-15,72
2016-01-16,124
2016-01-17,52
2016-01-18,66
2016-01-19,73
2016-01-20,75
2016-01-21,146
2016-01-22,79
2016-01-23,117
2016-01-24,67
2016-01-25,117
2016-01-26,113
2016-01-27,137
2016-01-28,129
2016-01-29,163
2016-01-30,254
2016-01-31,102
2016-02-01,93
2016-02-02,80
2016-02-03,137
2016-02-04,123
2016-02-05,184
2016-02-06,198
2016-02-07,93
2016-02-08,80
2016-02-09,102
2016-02-10,104
2016-02-11,177
2016-02-12,152
2016-02-13,195
2016-02-14,92
2016-02-15,86
2016-02-16,82
2016-02-17,132
2016-02-18,163
2016-02-19,110
2016-02-20,176
2016-02-21,80
2016-02-22,100
2016-02-23,93
2016-02-24,132
2016-02-25,206
2016-02-26,182
2016-02-27,129
2016-02-28,67
2016-02-29,101
2016-03-01,106
2016-03-02,114
2016-03-03,87
2016-03-04,101
2016-03-05,89
2016-03-06,51
2016-03-07,57
2016-03-08,60
2016-03-09,98
2016-03-10,73
2016-03-11,57
2016-03-12,75
2016-03-13,33
2016-03-14,42
2016-03-15,24
2016-03-16,49
2016-03-17,57
2016-03-18,60
2016-03-19,75
2016-03-20,29
2016-03-21,40
2016-03-22,37
2016-03-23,33
2016-03-24,48
2016-03-25,42
2016-03-26,64
2016-03-27,0
2016-03-28,0
2016-03-29,42
2016-03-30,42
2016-03-31,45
2016-04-01,52
2016-04-02,98
2016-04-03,33
2016-04-04,30
2016-04-05,43
2016-04-06,52
2016-04-07,70
2016-04-08,35
2016-04-09,83
2016-04-10,41
2016-04-11,48
2016-04-12,42
2016-04-13,43
2016-04-14,57
2016-04-15,40
2016-04-16,64
2016-04-17,26
2016-04-18,20
2016-04-19,30
2016-04-20,42
2016-04-21,36
2016-04-22,53
2016-04-23,75
2016-04-24,34
2016-04-25,25
2016-04-26,23
2016-04-27,43
2016-04-28,38
2016-04-29,50
2016-04-30,120
2016-05-01,0
2016-05-02,19
2016-05-03,32
2016-05-04,47
2016-05-05,49
2016-05-06,71
2016-05-07,75
2016-05-08,42
2016-05-09,46
2016-05-10,27
2016-05-11,44
2016-05-12,27
2016-05-13,49
2016-05-14,55
2016-05-15,37
2016-05-16,36
2016-05-17,35
2016-05-18,68
2016-05-19,27
2016-05-20,53
2016-05-21,69
2016-05-22,27
2016-05-23,40
