time,qty
2016-01-02,49
2016-01-03,35
2016-01-04,31
2016-01-05,134
2016-01-06,94
2016-01-07,92
2016-01-08,89
2016-01-09,128
2016-01-10,52
2016-01-11,47
2016-01-12,34
2016-01-13,74
2016-01-14,99
2016-01-15,58
2016-01-16,117
2016-01-17,44
2016-01-18,59
2016-01-19,52
2016-01-20,45
2016-01-21,75
2016-01-22,65
2016-01-23,100
2016-01-24,58
2016-01-25,60
2016-01-26,83
2016-01-27,58
2016-01-28,110
2016-01-29,106
2016-01-30,146
2016-01-31,56
2016-02-01,83
2016-02-02,105
2016-02-03,91
2016-02-04,140
2016-02-05,112
2016-02-06,149
2016-02-07,91
2016-02-08,54
2016-02-09,63
2016-02-10,97
2016-02-11,109
2016-02-12,124
2016-02-13,240
2016-02-14,76
2016-02-15,86
2016-02-16,75
2016-02-17,139
2016-02-18,105
2016-02-19,114
2016-02-20,179
2016-02-21,36
2016-02-22,62
2016-02-23,57
2016-02-24,165
2016-02-25,159
2016-02-26,147
2016-02-27,207
2016-02-28,84
2016-02-29,45
2016-03-01,80
2016-03-02,88
2016-03-03,46
2016-03-04,58
2016-03-05,96
2016-03-06,37
2016-03-07,35
2016-03-08,42
2016-03-09,45
2016-03-10,49
2016-03-11,48
2016-03-12,75
2016-03-13,30
2016-03-14,24
2016-03-15,31
2016-03-16,73
2016-03-17,42
2016-03-18,34
2016-03-19,48
2016-03-20,29
2016-03-21,12
2016-03-22,34
2016-03-23,21
2016-03-24,32
2016-03-25,23
2016-03-26,60
2016-03-27,0
2016-03-28,0
2016-03-29,34
2016-03-30,30
2016-03-31,34
2016-04-01,39
2016-04-02,54
2016-04-03,21
2016-04-04,19
2016-04-05,30
2016-04-06,22
2016-04-07,28
2016-04-08,38
2016-04-09,42
2016-04-10,9
2016-04-11,34
2016-04-12,18
2016-04-13,25
2016-04-14,31
2016-04-15,40
2016-04-16,60
2016-04-17,17
2016-04-18,22
2016-04-19,46
2016-04-20,32
2016-04-21,25
2016-04-22,29
2016-04-23,70
2016-04-24,21
2016-04-25,13
2016-04-26,33
2016-04-27,15
2016-04-28,23
2016-04-29,49
2016-04-30,59
2016-05-01,0
2016-05-02,25
2016-05-03,30
2016-05-04,44
2016-05-05,34
2016-05-06,40
2016-05-07,64
2016-05-08,34
2016-05-09,39
2016-05-10,39
2016-05-11,48
2016-05-12,25
2016-05-13,59
2016-05-14,48
2016-05-15,31
2016-05-16,40
2016-05-17,24
2016-05-18,52
2016-05-19,17
2016-05-20,56
2016-05-21,68
2016-05-22,26
2016-05-23,14
2016-05-24,26
2016-05-25,37
2016-05-26,52
2016-05-27,40
2016-05-28,84
2016-05-29,16
2016-05-30,24
2016-05-31,29
2016-06-01,27
2016-06-02,15
2016-06-03,50
2016-06-04,44
2016-06-05,20
2016-06-06,23
2016-06-07,27
2016-06-08,33
2016-06-09,28
2016-06-10,40
2016-06-11,62
2016-06-12,19
2016-06-13,28
2016-06-14,34
2016-06-15,29
2016-06-16,30
2016-06-17,56
2016-06-18,54
2016-06-19,33
2016-06-20,25
2016-06-21,17
2016-06-22,18
2016-06-23,18
2016-06-24,106
2016-06-25,128
2016-06-26,41
2016-06-27,51
2016-06-28,65
2016-06-29,46
2016-06-30,56
2016-07-01,72
2016-07-02,160
2016-07-03,80
2016-07-04,90
2016-07-05,69
2016-07-06,81
2016-07-07,62
2016-07-08,82
2016-07-09,94
2016-07-10,34
2016-07-11,49
2016-07-12,73
2016-07-13,79
2016-07-14,80
2016-07-15,117
2016-07-16,144
2016-07-17,38
2016-07-18,84
2016-07-19,49
2016-07-20,56
2016-07-21,57
2016-07-22,63
2016-07-23,96
2016-07-24,34
2016-07-25,33
2016-07-26,72
2016-07-27,92
2016-07-28,92
2016-07-29,92
2016-07-30,57
2016-07-31,28
2016-08-01,52
2016-08-02,81
2016-08-03,95
2016-08-04,66
2016-08-05,120
2016-08-06,171
2016-08-07,37
2016-08-08,60
2016-08-09,87
2016-08-10,52
2016-08-11,74
2016-08-12,43
2016-08-13,79
2016-08-14,0
2016-08-15,0
2016-08-16,46
2016-08-17,44
2016-08-18,43
2016-08-19,51
2016-08-20,59
2016-08-21,0
2016-08-22,41
2016-08-23,57
2016-08-24,67
2016-08-25,89
2016-08-26,41
2016-08-27,71
2016-08-28,56
2016-08-29,63
2016-08-30,60
2016-08-31,57
2016-09-01,33
2016-09-02,33
2016-09-03,85
2016-09-04,13
2016-09-05,28
2016-09-06,49
2016-09-07,60
2016-09-08,38
2016-09-09,35
2016-09-10,56
2016-09-11,12
2016-09-12,14
2016-09-13,9
2016-09-14,13
2016-09-15,44
2016-09-16,28
2016-09-17,48
2016-09-18,22
2016-09-19,20
2016-09-20,26
2016-09-21,28
2016-09-22,23
2016-09-23,32
2016-09-24,42
2016-09-25,28
2016-09-26,22
2016-09-27,17
2016-09-28,26
2016-09-29,20
2016-09-30,40
2016-10-01,35
2016-10-02,17
2016-10-03,27
2016-10-04,27
2016-10-05,28
2016-10-06,17
2016-10-07,44
2016-10-08,61
2016-10-09,28
2016-10-10,25
2016-10-11,21
2016-10-12,21
2016-10-13,9
2016-10-14,36
2016-10-15,51
2016-10-16,15
2016-10-17,24
2016-10-18,25
2016-10-19,26
2016-10-20,30
2016-10-21,40
2016-10-22,67
2016-10-23,30
2016-10-24,13
2016-10-25,18
2016-10-26,15
2016-10-27,33
2016-10-28,34
2016-10-29,69
2016-10-30,21
2016-10-31,29
2016-11-01,22
2016-11-02,11
2016-11-03,44
2016-11-04,52
2016-11-05,44
2016-11-06,15
2016-11-07,14
2016-11-08,28
2016-11-09,19
2016-11-10,21
2016-11-11,47
2016-11-12,53
2016-11-13,26
2016-11-14,12
2016-11-15,23
2016-11-16,23
2016-11-17,32
2016-11-18,29
2016-11-19,58
2016-11-20,14
2016-11-21,13
2016-11-22,24
2016-11-23,40
2016-11-24,19
2016-11-25,110
2016-11-26,128
2016-11-27,69
2016-11-28,14
2016-11-29,38
2016-11-30,16
2016-12-01,51
2016-12-02,44
2016-12-03,50
2016-12-04,44
2016-12-05,24
2016-12-06,30
2016-12-07,16
2016-12-08,64
2016-12-09,49
2016-12-10,60
2016-12-11,45
2016-12-12,42
2016-12-13,33
2016-12-14,45
2016-12-15,59
2016-12-16,79
2016-12-17,128
2016-12-18,88
2016-12-19,57
2016-12-20,54
2016-12-21,109
2016-12-22,92
2016-12-23,89
2016-12-24,99
2016-12-25,0
2016-12-26,0
2016-12-27,41
2016-12-28,39
2016-12-29,102
2016-12-30,142
2016-12-31,50
2017-01-01,0
2017-01-02,26
2017-01-03,35
2017-01-04,42
2017-01-05,142
2017-01-06,65
2017-01-07,142
2017-01-08,68
2017-01-09,52
2017-01-10,66
2017-01-11,84
2017-01-12,92
2017-01-13,88
2017-01-14,219
2017-01-15,79
2017-01-16,80
2017-01-17,68
2017-01-18,91
2017-01-19,132
2017-01-20,92
2017-01-21,160
2017-01-22,51
2017-01-23,78
2017-01-24,62
2017-01-25,137
2017-01-26,131
2017-01-27,111
2017-01-28,162
2017-01-29,78
2017-01-30,66
2017-01-31,71
2017-02-01,116
2017-02-02,176
2017-02-03,124
2017-02-04,239
2017-02-05,78
2017-02-06,71
2017-02-07,75
2017-02-08,123
2017-02-09,95
2017-02-10,170
2017-02-11,239
2017-02-12,79
2017-02-13,121
2017-02-14,74
2017-02-15,118
2017-02-16,172
2017-02-17,148
2017-02-18,166
2017-02-19,80
2017-02-20,96
2017-02-21,94
2017-02-22,92
2017-02-23,133
2017-02-24,81
2017-02-25,107
2017-02-26,79
2017-02-27,71
2017-02-28,226
2017-03-01,232
2017-03-02,268
2017-03-03,151
2017-03-04,171
2017-03-05,47
2017-03-06,50
2017-03-07,52
2017-03-08,42
2017-03-09,53
2017-03-10,49
2017-03-11,48
2017-03-12,27
2017-03-13,37
2017-03-14,33
2017-03-15,20
2017-03-16,22
2017-03-17,60
2017-03-18,34
2017-03-19,11
2017-03-20,20
2017-03-21,40
2017-03-22,30
2017-03-23,53
2017-03-24,41
2017-03-25,75
2017-03-26,23
2017-03-27,26
2017-03-28,20
2017-03-29,31
2017-03-30,14
2017-03-31,23
2017-04-01,52
2017-04-02,8
2017-04-03,30
2017-04-04,36
2017-04-05,37
2017-04-06,44
2017-04-07,31
2017-04-08,54
2017-04-09,18
2017-04-10,30
2017-04-11,33
2017-04-12,27
2017-04-13,31
2017-04-14,50
2017-04-15,51
2017-04-16,0
2017-04-17,0
2017-04-18,27
2017-04-19,21
2017-04-20,30
2017-04-21,45
2017-04-22,63
2017-04-23,17
2017-04-24,55
2017-04-25,26
2017-04-26,42
2017-04-27,31
2017-04-28,21
2017-04-29,64
2017-04-30,38
2017-05-01,0
2017-05-02,29
2017-05-03,43
2017-05-04,31
2017-05-05,48
2017-05-06,57
2017-05-07,21
2017-05-08,27
2017-05-09,42
2017-05-10,30
2017-05-11,28
2017-05-12,39
2017-05-13,97
2017-05-14,27
2017-05-15,39
2017-05-16,34
2017-05-17,45
2017-05-18,42
2017-05-19,34
2017-05-20,79
2017-05-21,24
2017-05-22,24
2017-05-23,29
2017-05-24,40
2017-05-25,37
2017-05-26,31
2017-05-27,89
2017-05-28,30
2017-05-29,27
2017-05-30,47
2017-05-31,35
2017-06-01,50
2017-06-02,33
2017-06-03,55
2017-06-04,14
2017-06-05,10
2017-06-06,47
2017-06-07,39
2017-06-08,28
2017-06-09,46
2017-06-10,77
2017-06-11,21
2017-06-12,33
2017-06-13,44
2017-06-14,39
2017-06-15,42
2017-06-16,32
2017-06-17,63
2017-06-18,10
2017-06-19,27
2017-06-20,44
2017-06-21,35
2017-06-22,21
2017-06-23,121
2017-06-24,141
2017-06-25,20
2017-06-26,52
2017-06-27,61
2017-06-28,72
2017-06-29,43
2017-06-30,83
2017-07-01,149
2017-07-02,59
2017-07-03,83
2017-07-04,87
2017-07-05,95
2017-07-06,64
2017-07-07,94
2017-07-08,98
2017-07-09,61
2017-07-10,76
2017-07-11,68
2017-07-12,70
2017-07-13,86
2017-07-14,97
2017-07-15,148
2017-07-16,29
2017-07-17,65
2017-07-18,112
2017-07-19,149
2017-07-20,134
2017-07-21,220
2017-07-22,195
2017-07-23,60
2017-07-24,96
2017-07-25,187
2017-07-26,132
2017-07-27,120
2017-07-28,138
2017-07-29,116
2017-07-30,59
2017-07-31,110
2017-08-01,181
2017-08-02,241
2017-08-03,133
2017-08-04,140
2017-08-05,167
2017-08-06,75
2017-08-07,127
2017-08-08,156
2017-08-09,83
2017-08-10,138
2017-08-11,166
2017-08-12,182
2017-08-13,0
2017-08-14,0
2017-08-15,0
2017-08-16,111
2017-08-17,82
2017-08-18,56
2017-08-19,90
2017-08-20,0
2017-08-21,125
2017-08-22,161
2017-08-23,127
2017-08-24,83
2017-08-25,68
2017-08-26,87
2017-08-27,37
2017-08-28,66
2017-08-29,76
2017-08-30,30
2017-08-31,38
2017-09-01,59
2017-09-02,59
2017-09-03,39
2017-09-04,25
2017-09-05,39
2017-09-06,37
2017-09-07,30
2017-09-08,35
2017-09-09,56
2017-09-10,13
2017-09-11,18
2017-09-12,30
2017-09-13,34
2017-09-14,20
2017-09-15,31
2017-09-16,42
2017-09-17,35
2017-09-18,8
2017-09-19,16
2017-09-20,49
2017-09-21,26
2017-09-22,42
2017-09-23,68
2017-09-24,31
2017-09-25,25
2017-09-26,11
2017-09-27,37
2017-09-28,29
2017-09-29,26
2017-09-30,75
2017-10-01,21
2017-10-02,17
2017-10-03,36
2017-10-04,36
2017-10-05,43
2017-10-06,35
2017-10-07,30
2017-10-08,9
2017-10-09,28
2017-10-10,20
2017-10-11,20
2017-10-12,38
2017-10-13,28
2017-10-14,60
2017-10-15,22
2017-10-16,27
2017-10-17,20
2017-10-18,23
2017-10-19,68
2017-10-20,49
2017-10-21,76
2017-10-22,23
2017-10-23,20
2017-10-24,42
2017-10-25,20
2017-10-26,15
2017-10-27,41
2017-10-28,105
2017-10-29,31
2017-10-30,28
2017-10-31,30
2017-11-01,37
2017-11-02,30
2017-11-03,19
