time,qty
2016-01-02,100
2016-01-03,74
2016-01-04,68
2016-01-05,251
2016-01-06,179
2016-01-07,89
2016-01-08,95
2016-01-09,155
2016-01-10,131
2016-01-11,56
2016-01-12,51
2016-01-13,74
2016-01-14,74
2016-01-15,83
2016-01-16,195
2016-01-17,178
2016-01-18,50
2016-01-19,43
2016-01-20,51
2016-01-21,62
2016-01-22,89
2016-01-23,140
2016-01-24,117
2016-01-25,40
2016-01-26,36
2016-01-27,75
2016-01-28,86
2016-01-29,89
2016-01-30,143
2016-01-31,171
2016-02-01,89
2016-02-02,37
2016-02-03,46
2016-02-04,74
2016-02-05,114
2016-02-06,139
2016-02-07,139
2016-02-08,55
2016-02-09,42
2016-02-10,59
2016-02-11,50
2016-02-12,65
2016-02-13,174
2016-02-14,115
2016-02-15,61
2016-02-16,41
2016-02-17,52
2016-02-18,51
2016-02-19,41
2016-02-20,93
2016-02-21,83
2016-02-22,37
2016-02-23,25
2016-02-24,47
2016-02-25,79
2016-02-26,67
2016-02-27,117
2016-02-28,88
2016-02-29,33
2016-03-01,32
2016-03-02,34
2016-03-03,51
2016-03-04,41
2016-03-05,84
2016-03-06,63
2016-03-07,19
2016-03-08,39
2016-03-09,40
2016-03-10,54
2016-03-11,30
2016-03-12,87
2016-03-13,70
2016-03-14,19
2016-03-15,21
2016-03-16,30
2016-03-17,27
2016-03-18,54
2016-03-19,76
2016-03-20,50
2016-03-21,28
2016-03-22,27
2016-03-23,49
2016-03-24,40
2016-03-25,53
2016-03-26,105
2016-03-27,0
2016-03-28,50
2016-03-29,37
2016-03-30,43
2016-03-31,22
2016-04-01,54
2016-04-02,128
2016-04-03,107
2016-04-04,43
2016-04-05,25
2016-04-06,52
2016-04-07,49
2016-04-08,54
2016-04-09,91
2016-04-10,91
2016-04-11,31
2016-04-12,43
2016-04-13,38
2016-04-14,53
2016-04-15,72
2016-04-16,122
2016-04-17,93
2016-04-18,58
2016-04-19,50
2016-04-20,52
2016-04-21,37
2016-04-22,54
2016-04-23,133
2016-04-24,87
2016-04-25,82
2016-04-26,25
2016-04-27,45
2016-04-28,48
2016-04-29,57
2016-04-30,154
2016-05-01,85
2016-05-02,37
2016-05-03,42
2016-05-04,61
2016-05-05,43
2016-05-06,74
2016-05-07,116
2016-05-08,86
2016-05-09,33
2016-05-10,54
2016-05-11,45
2016-05-12,43
2016-05-13,34
2016-05-14,124
2016-05-15,99
2016-05-16,47
2016-05-17,64
2016-05-18,29
2016-05-19,51
2016-05-20,79
2016-05-21,101
2016-05-22,69
2016-05-23,45
2016-05-24,45
2016-05-25,44
2016-05-26,43
2016-05-27,47
2016-05-28,99
2016-05-29,122
2016-05-30,35
2016-05-31,38
2016-06-01,47
2016-06-02,95
2016-06-03,69
2016-06-04,73
2016-06-05,82
2016-06-06,22
2016-06-07,32
2016-06-08,45
2016-06-09,33
2016-06-10,59
2016-06-11,126
2016-06-12,89
2016-06-13,47
2016-06-14,30
2016-06-15,58
2016-06-16,48
2016-06-17,58
2016-06-18,74
2016-06-19,104
2016-06-20,22
2016-06-21,30
2016-06-22,32
2016-06-23,21
2016-06-24,145
2016-06-25,144
2016-06-26,112
2016-06-27,84
2016-06-28,63
2016-06-29,48
2016-06-30,110
2016-07-01,54
2016-07-02,223
2016-07-03,216
2016-07-04,110
2016-07-05,91
2016-07-06,105
2016-07-07,95
2016-07-08,83
2016-07-09,161
2016-07-10,103
2016-07-11,62
2016-07-12,87
2016-07-13,83
2016-07-14,100
2016-07-15,107
2016-07-16,171
2016-07-17,125
2016-07-18,71
2016-07-19,75
2016-07-20,71
2016-07-21,64
2016-07-22,114
2016-07-23,140
2016-07-24,171
2016-07-25,61
2016-07-26,85
2016-07-27,74
2016-07-28,86
2016-07-29,77
2016-07-30,109
2016-07-31,132
2016-08-01,68
2016-08-02,96
2016-08-03,92
2016-08-04,90
2016-08-05,69
2016-08-06,125
2016-08-07,65
2016-08-08,49
2016-08-09,71
2016-08-10,78
2016-08-11,90
2016-08-12,96
2016-08-13,89
2016-08-14,69
2016-08-15,34
2016-08-16,91
2016-08-17,58
2016-08-18,42
2016-08-19,56
2016-08-20,95
2016-08-21,49
2016-08-22,43
2016-08-23,56
2016-08-24,65
2016-08-25,69
2016-08-26,62
2016-08-27,108
2016-08-28,78
2016-08-29,58
2016-08-30,59
2016-08-31,43
2016-09-01,61
2016-09-02,28
2016-09-03,74
2016-09-04,50
2016-09-05,36
2016-09-06,33
2016-09-07,45
2016-09-08,57
2016-09-09,49
2016-09-10,64
2016-09-11,59
2016-09-12,27
2016-09-13,23
2016-09-14,40
2016-09-15,42
2016-09-16,68
2016-09-17,86
2016-09-18,112
2016-09-19,47
2016-09-20,30
2016-09-21,32
2016-09-22,32
2016-09-23,36
2016-09-24,60
2016-09-25,59
2016-09-26,35
2016-09-27,23
2016-09-28,32
2016-09-29,25
2016-09-30,35
2016-10-01,109
2016-10-02,55
2016-10-03,36
2016-10-04,26
2016-10-05,51
2016-10-06,33
2016-10-07,47
2016-10-08,100
2016-10-09,97
2016-10-10,30
2016-10-11,55
2016-10-12,33
2016-10-13,41
2016-10-14,51
2016-10-15,138
2016-10-16,80
2016-10-17,36
2016-10-18,39
2016-10-19,70
2016-10-20,37
2016-10-21,59
2016-10-22,90
2016-10-23,79
2016-10-24,31
2016-10-25,37
2016-10-26,38
2016-10-27,28
2016-10-28,36
2016-10-29,60
2016-10-30,91
2016-10-31,51
2016-11-01,63
2016-11-02,39
2016-11-03,31
