time,qty
2017-10-25,69
2017-10-26,52
2017-10-27,63
2017-10-28,157
2017-10-29,138
2017-10-30,51
2017-10-31,58
2017-11-01,95
2017-11-02,62
2017-11-03,74
2017-11-04,121
2017-11-05,109
2017-11-06,33
2017-11-07,30
2017-11-08,37
2017-11-09,31
2017-11-10,48
2017-11-11,75
2017-11-12,96
2017-11-13,40
2017-11-14,43
2017-11-15,39
2017-11-16,35
2017-11-17,42
2017-11-18,84
2017-11-19,78
2017-11-20,17
2017-11-21,19
2017-11-22,48
2017-11-23,41
2017-11-24,152
2017-11-25,169
2017-11-26,154
2017-11-27,36
2017-11-28,30
2017-11-29,22
2017-11-30,31
2017-12-01,38
2017-12-02,80
2017-12-03,102
2017-12-04,46
2017-12-05,49
2017-12-06,34
2017-12-07,39
2017-12-08,103
2017-12-09,66
2017-12-10,68
2017-12-11,50
2017-12-12,55
2017-12-13,54
2017-12-14,72
2017-12-15,75
2017-12-16,105
2017-12-17,122
2017-12-18,47
2017-12-19,54
2017-12-20,108
2017-12-21,104
2017-12-22,100
2017-12-23,127
2017-12-24,85
2017-12-25,0
2017-12-26,0
2017-12-27,51
2017-12-28,39
2017-12-29,81
2017-12-30,99
2017-12-31,59
2018-01-01,0
2018-01-02,52
2018-01-03,43
2018-01-04,51
2018-01-05,108
2018-01-06,140
2018-01-07,140
2018-01-08,44
2018-01-09,49
2018-01-10,57
2018-01-11,35
2018-01-12,44
2018-01-13,81
2018-01-14,103
2018-01-15,22
2018-01-16,44
2018-01-17,72
2018-01-18,52
2018-01-19,111
2018-01-20,134
2018-01-21,174
2018-01-22,63
2018-01-23,58
2018-01-24,67
2018-01-25,50
2018-01-26,77
2018-01-27,137
2018-01-28,127
2018-01-29,42
2018-01-30,45
2018-01-31,49
2018-02-01,70
2018-02-02,75
2018-02-03,131
2018-02-04,122
2018-02-05,52
2018-02-06,77
2018-02-07,34
2018-02-08,49
2018-02-09,75
2018-02-10,114
2018-02-11,91
2018-02-12,35
2018-02-13,79
2018-02-14,44
2018-02-15,39
2018-02-16,47
2018-02-17,91
2018-02-18,109
2018-02-19,39
2018-02-20,57
2018-02-21,43
2018-02-22,51
2018-02-23,39
2018-02-24,99
2018-02-25,94
2018-02-26,50
2018-02-27,26
2018-02-28,30
2018-03-01,21
2018-03-02,42
2018-03-03,80
2018-03-04,99
2018-03-05,31
2018-03-06,29
2018-03-07,31
2018-03-08,22
2018-03-09,39
2018-03-10,39
2018-03-11,48
2018-03-12,19
2018-03-13,24
2018-03-14,23
2018-03-15,29
2018-03-16,41
2018-03-17,60
2018-03-18,54
2018-03-19,23
2018-03-20,18
2018-03-21,21
2018-03-22,39
2018-03-23,44
2018-03-24,68
2018-03-25,84
2018-03-26,28
2018-03-27,7
2018-03-28,46
2018-03-29,39
2018-03-30,49
2018-03-31,86
2018-04-01,0
2018-04-02,60
2018-04-03,26
2018-04-04,46
2018-04-05,53
2018-04-06,37
2018-04-07,109
2018-04-08,85
2018-04-09,45
2018-04-10,29
2018-04-11,37
2018-04-12,36
2018-04-13,61
2018-04-14,121
2018-04-15,66
2018-04-16,29
2018-04-17,37
2018-04-18,47
2018-04-19,50
2018-04-20,71
2018-04-21,86
2018-04-22,57
2018-04-23,27
2018-04-24,57
2018-04-25,86
2018-04-26,35
2018-04-27,43
2018-04-28,76
2018-04-29,74
2018-04-30,77
2018-05-01,56
2018-05-02,21
2018-05-03,36
2018-05-04,65
2018-05-05,86
2018-05-06,79
2018-05-07,31
2018-05-08,35
2018-05-09,39
2018-05-10,55
2018-05-11,69
2018-05-12,93
2018-05-13,71
2018-05-14,37
2018-05-15,24
2018-05-16,40
2018-05-17,25
2018-05-18,32
2018-05-19,45
2018-05-20,92
2018-05-21,30
2018-05-22,30
2018-05-23,41
2018-05-24,34
2018-05-25,42
2018-05-26,51
2018-05-27,87
2018-05-28,28
2018-05-29,35
2018-05-30,30
2018-05-31,33
2018-06-01,51
2018-06-02,96
2018-06-03,63
2018-06-04,40
2018-06-05,53
2018-06-06,42
2018-06-07,65
2018-06-08,44
2018-06-09,100
2018-06-10,83
2018-06-11,56
2018-06-12,61
2018-06-13,39
2018-06-14,45
2018-06-15,50
