time,qty,sin_day,cos_day,sincos_day,day_of_week,TMEDIA °C,TMIN °C,TMAX °C,PUNTORUGIADA °C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,conditions
2019-10-31,77,-0.8674563547295971,0.4975132889071802,-0.4315710640249555,3,11.0,10.0,12.0,7.0,76.0,18.0,6.0,11.0,0.0,1020.0,1
2019-11-01,90,-0.8587639582758031,0.5123714121284235,-0.4400061019867678,4,12.0,11.0,14.0,8.0,72.0,21.0,5.0,8.0,0.0,1017.0,1
2019-11-02,132,-0.8498170915275283,0.5270777086423716,-0.44791964536745416,5,11.0,10.0,12.0,9.0,87.0,9.0,4.0,8.0,0.0,1009.0,-1
2019-11-03,113,-0.8406184056344783,0.5416278206559811,-0.45530231504710805,6,11.0,10.0,12.0,10.0,96.0,10.0,7.0,13.0,0.0,995.0,-1
2019-11-04,36,-0.8311706263658084,0.5560174366570438,-0.4621453610965463,0,12.0,7.0,15.0,10.0,90.0,17.0,7.0,13.0,0.0,997.0,1
2019-11-05,52,-0.8214765533024145,0.5702422926917867,-0.4684406731477156,1,13.0,10.0,16.0,11.0,89.0,12.0,6.0,13.0,0.0,997.0,-1
2019-11-06,43,-0.8115390590073611,0.5842981736283683,-0.47418079000608576,2,10.0,7.0,11.0,9.0,94.0,14.0,5.0,9.0,0.0,1003.0,-1
2019-11-07,68,-0.8013610881746764,0.5981809144059166,-0.4793589084936483,3,9.0,6.0,10.0,8.0,93.0,10.0,7.0,21.0,0.0,1007.0,-1
2019-11-08,62,-0.7909456567567774,0.6118864012687241,-0.483968891512032,4,10.0,9.0,12.0,9.0,89.0,17.0,11.0,24.0,0.0,1003.0,-1
2019-11-09,137,-0.7802958510707755,0.6254105729852464,-0.48800527531618415,5,9.0,5.0,14.0,6.0,84.0,21.0,6.0,15.0,0.0,1008.0,-1
2019-11-10,109,-0.7694148268839381,0.6387494220515267,-0.491463275989991,6,8.0,4.0,13.0,6.0,89.0,12.0,4.0,11.0,0.0,1011.0,1
2019-11-11,43,-0.7583058084785625,0.6518989958787125,-0.4943387951161702,0,8.0,5.0,10.0,6.0,89.0,13.0,5.0,11.0,0.0,1013.0,-1
2019-11-12,70,-0.7469720876965558,0.6648553979642859,-0.4966284246337071,1,8.0,7.0,10.0,7.0,91.0,14.0,6.0,11.0,0.0,1002.0,-1
2019-11-13,66,-0.7354170229639858,0.6776147890466887,-0.4983294508770851,2,9.0,5.0,15.0,5.0,75.0,14.0,7.0,17.0,0.0,999.0,1
2019-11-14,54,-0.723644038295913,0.6901733882429714,-0.49943985779251676,3,7.0,2.0,11.0,3.0,75.0,16.0,8.0,31.0,0.0,1007.0,-1
2019-11-15,77,-0.7116566222817751,0.7025274741691566,-0.499958329327369,4,8.0,5.0,12.0,6.0,90.0,11.0,12.0,44.0,0.0,1001.0,-1
2019-11-16,116,-0.6994583270516471,0.7146733860429608,-0.4998842509899454,5,8.0,6.0,10.0,7.0,92.0,10.0,4.0,9.0,0.0,1011.0,-1
2019-11-17,97,-0.6870527672236668,0.7266075247685657,-0.4992177105777821,6,7.0,6.0,8.0,7.0,94.0,10.0,6.0,11.0,0.0,1004.0,-1
2019-11-18,48,-0.6744436188329457,0.7383263540031063,-0.4979594980735895,0,7.0,5.0,9.0,6.0,93.0,8.0,5.0,9.0,0.0,1012.0,-1
2019-11-19,32,-0.6616346182422783,0.7498264012045686,-0.49611110470896613,1,8.0,7.0,10.0,8.0,97.0,7.0,6.0,9.0,0.0,1015.0,-1
