time,qty,sin_day,cos_day,sincos_day,day_of_week,TMEDIA °C,TMIN °C,TMAX °C,PUNTORUGIADA °C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,conditions
2018-09-13,163,-0.9536809966304455,-0.300819807635668,0.2868861339521628,3,22.0,20.0,27.0,17.0,72.0,19.0,7.0,18.0,0.0,1016.0,-1
2018-09-14,146,-0.9587178169872964,-0.2843591872810036,0.2726202192703256,4,24.0,19.0,29.0,17.0,69.0,20.0,7.0,15.0,0.0,1016.0,1
2018-09-15,271,-0.9634705485641486,-0.26781430516217486,0.2580311955079269,5,23.0,19.0,28.0,19.0,76.0,20.0,7.0,13.0,0.0,1019.0,1
2018-09-16,241,-0.9679377830240642,-0.25119006388481957,0.24313635355434532,6,23.0,19.0,28.0,19.0,76.0,20.0,7.0,13.0,0.0,1022.0,1
2018-09-17,96,-0.9721181966290612,-0.23449138957041055,0.22795334675423015,0,23.0,19.0,28.0,19.0,77.0,20.0,7.0,15.0,0.0,1021.0,-1
2018-09-18,79,-0.9760105506323682,-0.21772323039653224,0.2125001699847774,1,24.0,21.0,28.0,19.0,75.0,21.0,7.0,15.0,0.0,1019.0,1
2018-09-19,124,-0.9796136916454901,-0.2008905551306353,0.1967951383282335,2,22.0,20.0,25.0,20.0,85.0,17.0,5.0,9.0,0.0,1018.0,-1
2018-09-20,114,-0.9829265519799822,-0.1839983516576799,0.18085686536488355,3,22.0,20.0,27.0,19.0,84.0,17.0,9.0,21.0,0.0,1017.0,-1
2018-09-21,117,-0.9859481499638303,-0.1670516255021195,0.16470424111226534,4,23.0,19.0,28.0,18.0,76.0,20.0,8.0,17.0,0.0,1015.0,-1
2018-09-22,298,-0.9886775902323404,-0.15005539834465262,0.14835640963674507,5,23.0,18.0,29.0,18.0,74.0,20.0,7.0,13.0,0.0,1017.0,1
2018-09-23,165,-0.9911140639934546,-0.13301470653419636,0.13183274636400408,6,23.0,19.0,28.0,18.0,72.0,20.0,8.0,11.0,0.0,1019.0,1
2018-09-24,75,-0.9932568492674143,-0.11593459959550065,0.11515283511530622,0,24.0,21.0,28.0,19.0,72.0,19.0,10.0,21.0,0.0,1015.0,-1
2018-09-25,88,-0.9951053111006974,-0.09882013873287211,0.09833644489678879,1,20.0,15.0,25.0,10.0,56.0,18.0,13.0,24.0,0.0,1022.0,-1
2018-09-26,137,-0.99665890175417,-0.08167639533042287,0.08140350646925867,2,17.0,12.0,23.0,3.0,37.0,21.0,14.0,22.0,0.0,1028.0,1
2018-09-27,87,-0.9979171608653922,-0.06450844944931713,0.06437408872629123,3,17.0,10.0,26.0,6.0,49.0,21.0,10.0,21.0,0.0,1025.0,1
2018-09-28,118,-0.9988797155850335,-0.047321388322432316,0.04726837490860012,4,18.0,13.0,25.0,7.0,48.0,20.0,8.0,13.0,0.0,1016.0,1
2018-09-29,208,-0.9995462806873573,-0.03012030484690836,0.030106638682896633,5,19.0,13.0,26.0,10.0,55.0,22.0,7.0,11.0,0.0,1014.0,1
2018-09-30,200,-0.9999166586547379,-0.012910296075008843,0.01290922011356622,6,19.0,14.0,24.0,12.0,66.0,20.0,8.0,13.0,0.0,1016.0,1
2018-10-01,96,-0.9999907397361901,0.004303538296243821,-0.004303498444343882,0,20.0,16.0,24.0,15.0,74.0,20.0,11.0,21.0,0.0,1010.0,-1
2018-10-02,153,-0.9997685019798909,0.021516097436222233,-0.02151111650226527,1,19.0,15.0,22.0,11.0,58.0,21.0,11.0,18.0,0.0,1012.0,1
2018-10-03,106,-0.9992500112396835,0.03872228089217399,-0.038693239616731046,2,19.0,14.0,25.0,11.0,60.0,21.0,11.0,17.0,0.0,1016.0,1
2018-10-04,129,-0.9984354211555643,0.05591699010060302,-0.055829503560847094,3,21.0,16.0,25.0,12.0,58.0,22.0,10.0,17.0,0.0,1019.0,1
2018-10-05,145,-0.9973249731081556,0.07309512989807687,-0.07289959845993665,4,20.0,17.0,24.0,14.0,66.0,18.0,12.0,21.0,0.0,1018.0,-1
2018-10-06,306,-0.9959189961471792,0.09025161003104071,-0.08988329286278075,5,19.0,16.0,22.0,16.0,84.0,15.0,15.0,28.0,0.0,1015.0,-1
2018-10-07,263,-0.9942179068939521,0.10738134666416219,-0.10676045771989719,6,20.0,16.0,23.0,16.0,80.0,21.0,8.0,15.0,0.0,1014.0,-1
2018-10-08,73,-0.9922222094179324,0.12447926388678869,-0.12351109024046732,0,19.0,15.0,24.0,15.0,81.0,21.0,6.0,13.0,0.0,1017.0,1
2018-10-09,111,-0.989932495087353,0.14154029521704298,-0.1401153375996079,1,19.0,15.0,24.0,16.0,82.0,19.0,7.0,13.0,0.0,1019.0,-1
2018-10-10,94,-0.9873494423939864,0.15855938510313472,-0.1565535204679134,2,20.0,16.0,25.0,15.0,76.0,20.0,7.0,13.0,0.0,1020.0,1
