time,qty,sin_day,cos_day,sincos_day,day_of_week,TMEDIA °C,TMIN °C,TMAX °C,PUNTORUGIADA °C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,conditions
2017-08-30,152,-0.8543221697498269,-0.5197438121555157,0.4440286613147466,2,27.0,22.0,32.0,14.0,49.0,21.0,8.0,15.0,0.0,1015.0,1
2017-08-31,98,-0.8631421280499115,-0.5049610547215202,0.4358531593546608,3,26.0,21.0,32.0,18.0,61.0,20.0,8.0,15.0,0.0,1017.0,1
2017-09-01,98,-0.8717063187093217,-0.49002866642905946,0.4271610848749136,4,25.0,19.0,28.0,20.0,74.0,17.0,11.0,30.0,0.0,1015.0,-1
2017-09-02,114,-0.8800122039735356,-0.4749510720670501,0.41796273970931835,5,23.0,19.0,25.0,17.0,70.0,18.0,14.0,22.0,0.0,1011.0,-1
2017-09-03,88,-0.888057322629493,-0.4597327394521046,0.40826902572295826,6,19.0,14.0,24.0,11.0,59.0,20.0,10.0,18.0,0.0,1011.0,-1
2017-09-04,61,-0.8958392907349089,-0.4443781781046134,0.39809143189130786,0,20.0,15.0,26.0,11.0,57.0,21.0,8.0,15.0,0.0,1016.0,1
2017-09-05,83,-0.9033558023246842,-0.4288919379124841,0.3874420206835207,1,22.0,16.0,27.0,13.0,58.0,21.0,9.0,18.0,0.0,1020.0,1
2017-09-06,118,-0.9106046300942162,-0.4132786077829044,0.3763334137660043,2,22.0,18.0,27.0,16.0,69.0,18.0,8.0,17.0,0.0,1019.0,1
2017-09-07,109,-0.9175836260593935,-0.39754281428255656,0.3647787770432443,3,23.0,19.0,27.0,16.0,66.0,19.0,10.0,21.0,0.0,1013.0,1
2017-09-08,98,-0.924290722193093,-0.3816892202666594,0.3527918050535892,4,22.0,17.0,27.0,14.0,62.0,21.0,9.0,17.0,0.0,1012.0,1
2017-09-09,124,-0.9307239310379793,-0.3657225234972692,0.34038670473850813,5,21.0,16.0,26.0,14.0,65.0,19.0,12.0,24.0,0.0,1009.0,1
2017-09-10,77,-0.9368813462954315,-0.34964745525122826,0.32757817860454236,6,21.0,16.0,24.0,17.0,77.0,15.0,20.0,44.0,0.0,1003.0,-1
2017-09-11,101,-0.9427611433904206,-0.33346877891818705,0.3143814072979174,0,20.0,18.0,21.0,15.0,73.0,20.0,13.0,22.0,0.0,1000.0,-1
2017-09-12,103,-0.9483615800121716,-0.3171912885891059,0.3008120316124612,1,20.0,16.0,24.0,14.0,70.0,21.0,13.0,22.0,0.0,1010.0,1
2017-09-13,104,-0.9536809966304455,-0.300819807635668,0.2868861339521628,2,20.0,16.0,25.0,13.0,67.0,21.0,7.0,13.0,0.0,1019.0,1
2017-09-14,103,-0.9587178169872964,-0.2843591872810036,0.2726202192703256,3,20.0,15.0,25.0,15.0,72.0,20.0,10.0,18.0,0.0,1018.0,1
2017-09-15,114,-0.9634705485641486,-0.26781430516217486,0.2580311955079269,4,22.0,18.0,26.0,17.0,73.0,21.0,12.0,21.0,0.0,1014.0,1
2017-09-16,115,-0.9679377830240642,-0.25119006388481957,0.24313635355434532,5,23.0,19.0,27.0,18.0,72.0,18.0,18.0,30.0,0.0,1011.0,-1
2017-09-17,106,-0.9721181966290612,-0.23449138957041055,0.22795334675423015,6,20.0,16.0,23.0,14.0,72.0,20.0,8.0,13.0,0.0,1015.0,-1
2017-09-18,116,-0.9760105506323682,-0.21772323039653224,0.2125001699847774,0,18.0,14.0,23.0,12.0,70.0,19.0,9.0,15.0,0.0,1016.0,-1
2017-09-19,69,-0.9796136916454901,-0.2008905551306353,0.1967951383282335,1,18.0,15.0,21.0,12.0,68.0,19.0,11.0,18.0,0.0,1011.0,-1
2017-09-20,109,-0.9829265519799822,-0.1839983516576799,0.18085686536488355,2,15.0,10.0,20.0,7.0,60.0,19.0,18.0,33.0,0.0,1013.0,-1
2017-09-21,169,-0.9859481499638303,-0.1670516255021195,0.16470424111226534,3,16.0,10.0,22.0,7.0,56.0,20.0,8.0,15.0,0.0,1019.0,1
2017-09-22,117,-0.9886775902323404,-0.15005539834465262,0.14835640963674507,4,17.0,12.0,24.0,10.0,65.0,21.0,8.0,15.0,0.0,1021.0,1
2017-09-23,116,-0.9911140639934546,-0.13301470653419636,0.13183274636400408,5,17.0,12.0,23.0,9.0,60.0,20.0,7.0,11.0,0.0,1022.0,1
2017-09-24,92,-0.9932568492674143,-0.11593459959550065,0.11515283511530622,6,17.0,12.0,23.0,11.0,69.0,20.0,6.0,15.0,0.0,1018.0,1
2017-09-25,62,-0.9951053111006974,-0.09882013873287211,0.09833644489678879,0,18.0,13.0,23.0,11.0,66.0,19.0,13.0,26.0,0.0,1017.0,1
2017-09-26,94,-0.99665890175417,-0.08167639533042287,0.08140350646925867,1,17.0,12.0,22.0,12.0,71.0,21.0,7.0,13.0,0.0,1018.0,1
2017-09-27,84,-0.9979171608653922,-0.06450844944931713,0.06437408872629123,2,19.0,15.0,24.0,13.0,69.0,19.0,9.0,17.0,0.0,1020.0,1
2017-09-28,146,-0.9988797155850335,-0.047321388322432316,0.04726837490860012,3,19.0,14.0,25.0,12.0,68.0,20.0,8.0,17.0,0.0,1022.0,1
2017-09-29,133,-0.9995462806873573,-0.03012030484690836,0.030106638682896633,4,18.0,14.0,23.0,13.0,72.0,19.0,9.0,13.0,0.0,1020.0,1
2017-09-30,228,-0.9999166586547379,-0.012910296075008843,0.01290922011356622,5,17.0,13.0,23.0,12.0,72.0,19.0,7.0,11.0,0.0,1018.0,1
2017-10-01,144,-0.9999907397361901,0.004303538296243821,-0.004303498444343882,6,18.0,14.0,22.0,13.0,72.0,19.0,7.0,11.0,0.0,1019.0,1
2017-10-02,103,-0.9997685019798909,0.021516097436222233,-0.02151111650226527,0,18.0,15.0,24.0,14.0,75.0,20.0,7.0,13.0,0.0,1021.0,-1
2017-10-03,65,-0.9992500112396835,0.03872228089217399,-0.038693239616731046,1,19.0,14.0,24.0,13.0,70.0,18.0,8.0,13.0,0.0,1021.0,1
2017-10-04,115,-0.9984354211555643,0.05591699010060302,-0.055829503560847094,2,20.0,14.0,26.0,13.0,69.0,17.0,8.0,13.0,0.0,1023.0,1
2017-10-05,84,-0.9973249731081556,0.07309512989807687,-0.07289959845993665,3,19.0,14.0,25.0,13.0,68.0,20.0,6.0,13.0,0.0,1020.0,1
2017-10-06,102,-0.9959189961471792,0.09025161003104071,-0.08988329286278075,4,19.0,14.0,22.0,14.0,73.0,18.0,9.0,26.0,0.0,1009.0,-1
2017-10-07,129,-0.9942179068939521,0.10738134666416219,-0.10676045771989719,5,16.0,12.0,21.0,2.0,39.0,18.0,20.0,31.0,0.0,1016.0,1
2017-10-08,95,-0.9922222094179324,0.12447926388678869,-0.12351109024046732,6,15.0,9.0,21.0,6.0,54.0,20.0,7.0,13.0,0.0,1018.0,1
2017-10-09,137,-0.989932495087353,0.14154029521704298,-0.1401153375996079,0,18.0,15.0,22.0,11.0,62.0,20.0,9.0,15.0,0.0,1017.0,-1
2017-10-10,74,-0.9873494423939864,0.15855938510313472,-0.1565535204679134,1,17.0,13.0,22.0,12.0,74.0,21.0,6.0,15.0,0.0,1018.0,1
2017-10-11,78,-0.9844738167520923,0.17553149042142774,-0.1728061563353663,2,17.0,13.0,23.0,12.0,75.0,20.0,7.0,13.0,0.0,1022.0,1
2017-10-12,97,-0.9813064702716093,0.19245158197082993,-0.1888539826019824,3,17.0,12.0,23.0,12.0,72.0,19.0,7.0,15.0,0.0,1025.0,1
2017-10-13,104,-0.9778483415056569,0.209314645963048,-0.20467797940781024,4,17.0,12.0,23.0,12.0,74.0,21.0,6.0,13.0,0.0,1026.0,1
2017-10-14,167,-0.9741004551724206,0.22611568550828803,-0.2202593921752473,5,17.0,12.0,24.0,12.0,71.0,20.0,6.0,11.0,0.0,1027.0,1
2017-10-15,100,-0.9700639218515072,0.24284972209593492,-0.23557975383693125,6,18.0,11.0,26.0,10.0,63.0,20.0,7.0,13.0,0.0,1027.0,1
2017-10-16,103,-0.965739937654855,0.25951179706979943,-0.2506209067228875,0,18.0,12.0,25.0,12.0,68.0,20.0,6.0,11.0,0.0,1027.0,1
2017-10-17,120,-0.961129783872301,0.276096973097468,-0.2653650240809659,1,17.0,11.0,24.0,13.0,74.0,18.0,6.0,11.0,0.0,1024.0,1
2017-10-18,143,-0.9562348265919058,0.2926003356333479,-0.2797946312050879,2,17.0,13.0,23.0,13.0,79.0,10.0,6.0,11.0,0.0,1020.0,1
2017-10-19,100,-0.9510565162951536,0.30901699437494723,-0.2938926261462364,3,16.0,12.0,23.0,12.0,81.0,13.0,7.0,13.0,0.0,1018.0,1
2017-10-20,116,-0.9455963874271425,0.32534208471198034,-0.307642299981664,4,17.0,12.0,23.0,12.0,75.0,15.0,6.0,13.0,0.0,1019.0,1
2017-10-21,144,-0.9398560579418956,0.34157076916785517,-0.3210273566182815,5,16.0,10.0,23.0,11.0,71.0,21.0,8.0,15.0,0.0,1021.0,1
2017-10-22,99,-0.9338372288229252,0.35769823883312546,-0.33403193210676674,6,18.0,16.0,21.0,14.0,79.0,17.0,11.0,21.0,0.0,1016.0,-1
2017-10-23,75,-0.9275416835791969,0.3737197147904684,-0.34664061344348834,0,14.0,10.0,18.0,5.0,56.0,20.0,18.0,31.0,0.0,1011.0,-1
2017-10-24,100,-0.9209712877166347,0.38963044953078774,-0.3588384568379808,1,14.0,8.0,21.0,3.0,44.0,22.0,19.0,42.0,0.0,1015.0,1
