time,qty,sin_day,cos_day,sincos_day,day_of_week,TMEDIA °C,TMIN °C,TMAX °C,PUNTORUGIADA °C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,conditions
2017-05-11,99,0.7748840413670407,-0.6321034111873486,-0.489806845822745,3,12.0,11.0,13.0,11.0,91.0,7.0,9.0,18.0,0.0,1008.0,-1
2017-05-12,132,0.7638886127905428,-0.6453481132295501,-0.49297407498191514,4,14.0,9.0,18.0,10.0,80.0,16.0,4.0,11.0,0.0,1007.0,-1
2017-05-13,262,0.7526668275320085,-0.6584015846980487,-0.4955570319967273,5,17.0,9.0,23.0,11.0,71.0,22.0,6.0,15.0,0.0,1013.0,-1
2017-05-14,122,0.741222010848596,-0.6712599575675313,-0.4975526555503488,6,18.0,11.0,24.0,12.0,65.0,20.0,7.0,11.0,0.0,1020.0,1
2017-05-15,60,0.7295575540864878,-0.6839194216246103,-0.4989585804326961,0,20.0,12.0,25.0,11.0,57.0,20.0,7.0,15.0,0.0,1024.0,1
2017-05-16,101,0.717676913675962,-0.6963762255968722,-0.49977314034367865,1,21.0,14.0,25.0,12.0,58.0,21.0,8.0,15.0,0.0,1027.0,1
2017-05-17,79,0.705583610107178,-0.7086266782644596,-0.49999536986809506,2,21.0,14.0,26.0,13.0,60.0,20.0,7.0,13.0,0.0,1022.0,1
2017-05-18,74,0.6932812268869777,-0.720667149553861,-0.4996250056198418,3,21.0,19.0,22.0,12.0,59.0,18.0,11.0,15.0,0.0,1017.0,1
2017-05-19,123,0.6807734094770165,-0.7324940716135786,-0.4986624865540778,4,17.0,11.0,20.0,12.0,75.0,19.0,14.0,30.0,0.0,1012.0,-1
2017-05-20,184,0.6680638642135338,-0.7441039398713604,-0.49710895344697603,5,17.0,10.0,23.0,7.0,57.0,18.0,6.0,15.0,0.0,1016.0,1
2017-05-21,127,0.6551563572090853,-0.7554933140726803,-0.4949662475436766,6,18.0,10.0,25.0,5.0,43.0,21.0,7.0,11.0,0.0,1020.0,1
2017-05-22,48,0.6420547132365637,-0.766658819300159,-0.4922369083760461,0,20.0,12.0,26.0,8.0,49.0,20.0,6.0,9.0,0.0,1018.0,1
2017-05-23,72,0.6287628145958347,-0.7775971469736267,-0.48892417075282846,1,22.0,14.0,28.0,11.0,52.0,20.0,6.0,15.0,0.0,1017.0,1
2017-05-24,106,0.615284599963328,-0.7883050558305252,-0.4850319609257536,2,24.0,17.0,31.0,11.0,46.0,21.0,8.0,15.0,0.0,1017.0,1
2017-05-25,141,0.6016240632249229,-0.7987793728863647,-0.48056489193615054,3,22.0,18.0,25.0,14.0,59.0,17.0,9.0,15.0,0.0,1016.0,1
2017-05-26,124,0.5877852522924732,-0.8090169943749473,-0.4755282581475768,4,22.0,18.0,25.0,13.0,59.0,20.0,8.0,13.0,0.0,1018.0,1
2017-05-27,182,0.5737722679043249,-0.8190148866680798,-0.46992802897094776,5,22.0,18.0,27.0,14.0,62.0,21.0,7.0,11.0,0.0,1020.0,1
2017-05-28,128,0.5595892624101769,-0.8287700871745035,-0.46377084178959843,6,24.0,20.0,29.0,16.0,60.0,21.0,7.0,11.0,0.0,1021.0,1
2017-05-29,56,0.5452404385406513,-0.8382797052177741,-0.457063994092667,0,24.0,20.0,30.0,16.0,60.0,19.0,7.0,11.0,0.0,1017.0,1
2017-05-30,76,0.5307300481619337,-0.8475409228928309,-0.44981543482612185,1,24.0,19.0,29.0,15.0,57.0,20.0,9.0,24.0,0.0,1016.0,1
2017-05-31,86,0.5160623910158528,-0.8565509959010036,-0.44203375497168185,2,22.0,16.0,28.0,15.0,64.0,21.0,8.0,13.0,0.0,1019.0,1
2017-06-01,135,0.5012418134457758,-0.865307254363206,-0.4337281773647986,3,22.0,17.0,28.0,13.0,57.0,20.0,7.0,13.0,0.0,1019.0,-1
2017-06-02,162,0.4862727071086904,-0.8738071036110806,-0.4249085457637641,4,22.0,17.0,27.0,14.0,61.0,21.0,6.0,18.0,0.0,1017.0,-1
2017-06-03,157,0.47115950767386416,-0.8820480249558535,-0.4155853131829042,5,22.0,18.0,27.0,15.0,68.0,18.0,8.0,21.0,0.0,1015.0,-1
2017-06-04,134,0.4559066935084588,-0.8900275764346767,-0.4057695295036805,6,22.0,17.0,27.0,16.0,70.0,17.0,9.0,28.0,0.0,1012.0,-1
2017-06-05,76,0.440518784350495,-0.8977433935342337,-0.3954728283783887,0,17.0,14.0,19.0,15.0,86.0,19.0,9.0,22.0,0.0,1012.0,-1
2017-06-06,79,0.4250003399695541,-0.9051931898913974,-0.38470741344196907,1,20.0,16.0,25.0,13.0,70.0,19.0,7.0,17.0,0.0,1008.0,-1
2017-06-07,78,0.40935595881562176,-0.9123747579707272,-0.3734860438482779,2,19.0,11.0,25.0,7.0,45.0,19.0,8.0,13.0,0.0,1013.0,1
2017-06-08,114,0.3935902766564671,-0.9192859697186103,-0.3618220191479565,3,19.0,13.0,23.0,11.0,61.0,20.0,9.0,18.0,0.0,1020.0,1
2017-06-09,86,0.3777079652039649,-0.9259247771938498,-0.34972916352582356,4,20.0,15.0,25.0,13.0,65.0,19.0,5.0,9.0,0.0,1017.0,1
2017-06-10,183,0.36171373072976765,-0.9322892131745133,-0.33722180941647284,5,23.0,15.0,30.0,14.0,58.0,19.0,5.0,11.0,0.0,1017.0,1
2017-06-11,89,0.3456123126707335,-0.9383773917408641,-0.3243147805174909,6,24.0,18.0,29.0,16.0,61.0,19.0,7.0,11.0,0.0,1019.0,1
