time,qty
2016-04-18,740
2016-04-25,1126
2016-05-02,944
2016-05-09,981
2016-05-16,961
2016-05-23,999
2016-05-30,1141
2016-06-06,1109
2016-06-13,992
2016-06-20,913
2016-06-27,1170
2016-07-04,1881
2016-07-11,1949
2016-07-18,1512
2016-07-25,1257
2016-08-01,1211
2016-08-08,1230
2016-08-15,904
2016-08-22,947
2016-08-29,905
2016-09-05,604
2016-09-12,569
2016-09-19,694
2016-09-26,594
2016-10-03,711
2016-10-10,675
2016-10-17,729
2016-10-24,809
2016-10-31,824
2016-11-07,797
2016-11-14,584
2016-11-21,594
2016-11-28,896
2016-12-05,632
2016-12-12,1030
2016-12-19,945
2016-12-26,592
2017-01-02,859
2017-01-09,1725
2017-01-16,1346
2017-01-23,1132
2017-01-30,1100
2017-02-06,1216
2017-02-13,817
2017-02-20,670
2017-02-27,593
2017-03-06,846
2017-03-13,589
2017-03-20,619
2017-03-27,575
2017-04-03,647
2017-04-10,659
2017-04-17,649
2017-04-24,826
2017-05-01,1025
2017-05-08,813
2017-05-15,777
2017-05-22,815
2017-05-29,913
2017-06-05,1203
2017-06-12,873
2017-06-19,1022
2017-06-26,1292
2017-07-03,1968
2017-07-10,2091
2017-07-17,1656
2017-07-24,1742
2017-07-31,1640
2017-08-07,2020
2017-08-14,1202
2017-08-21,990
2017-08-28,907
2017-09-04,764
2017-09-11,765
2017-09-18,938
2017-09-25,811
2017-10-02,786
2017-10-09,752
2017-10-16,910
2017-10-23,857
2017-10-30,911
2017-11-06,1044
2017-11-13,838
2017-11-20,796
2017-11-27,1947
2017-12-04,802
2017-12-11,1174
2017-12-18,1383
2017-12-25,970
2018-01-01,777
2018-01-08,2108
2018-01-15,1595
2018-01-22,1514
2018-01-29,1508
2018-02-05,1645
2018-02-12,1131
2018-02-19,1077
2018-02-26,795
2018-03-05,766
2018-03-12,734
2018-03-19,963
2018-03-26,810
2018-04-02,1017
2018-04-09,1139
2018-04-16,1129
2018-04-23,977
2018-04-30,1639
2018-05-07,1140
2018-05-14,1262
2018-05-21,1081
2018-05-28,973
2018-06-04,1210
2018-06-11,1250
2018-06-18,1166
2018-06-25,1053
2018-07-02,1492
2018-07-09,2545
2018-07-16,2980
2018-07-23,2031
2018-07-30,1841
2018-08-06,1722
2018-08-13,1151
2018-08-20,881
2018-08-27,866
2018-09-03,1012
2018-09-10,855
2018-09-17,735
2018-09-24,837
2018-10-01,879
2018-10-08,952
2018-10-15,998
2018-10-22,931
2018-10-29,963
2018-11-05,1352
2018-11-12,1042
2018-11-19,1006
2018-11-26,2207
2018-12-03,977
2018-12-10,1337
2018-12-17,1455
2018-12-24,1481
2018-12-31,907
2019-01-07,2144
2019-01-14,2081
2019-01-21,2030
2019-01-28,2151
2019-02-04,1574
2019-02-11,1554
2019-02-18,1136
2019-02-25,804
2019-03-04,833
2019-03-11,771
2019-03-18,755
2019-03-25,830
2019-04-01,996
2019-04-08,1130
2019-04-15,1231
2019-04-22,1102
2019-04-29,1680
2019-05-06,1390
2019-05-13,1165
2019-05-20,1145
2019-05-27,1054
2019-06-03,1325
2019-06-10,1531
2019-06-17,1376
2019-06-24,1346
2019-07-01,1779
2019-07-08,2744
2019-07-15,2701
2019-07-22,2038
2019-07-29,2142
2019-08-05,1752
2019-08-12,1413
2019-08-19,961
2019-08-26,905
2019-09-02,847
2019-09-09,934
2019-09-16,1012
2019-09-23,985
2019-09-30,931
2019-10-07,1078
2019-10-14,1300
2019-10-21,1574
2019-10-28,1245
2019-11-04,1570
2019-11-11,1133
2019-11-18,1056
2019-11-25,1160
2019-12-02,2121
2019-12-09,1294
2019-12-16,1686
2019-12-23,1667
2019-12-30,958
