time,qty
2017-09-04,611
2017-09-11,710
2017-09-18,761
2017-09-25,734
2017-10-02,932
2017-10-09,727
2017-10-16,723
2017-10-23,797
2017-10-30,696
2017-11-06,895
2017-11-13,712
2017-11-20,671
2017-11-27,1002
2017-12-04,595
2017-12-11,694
2017-12-18,614
2017-12-25,528
2018-01-01,575
2018-01-08,883
2018-01-15,763
2018-01-22,982
2018-01-29,1035
2018-02-05,1016
2018-02-12,781
2018-02-19,782
2018-02-26,549
2018-03-05,528
2018-03-12,441
2018-03-19,568
2018-03-26,498
2018-04-02,615
2018-04-09,608
2018-04-16,680
2018-04-23,658
2018-04-30,918
2018-05-07,655
2018-05-14,845
2018-05-21,854
2018-05-28,913
2018-06-04,1012
2018-06-11,815
2018-06-18,853
2018-06-25,814
2018-07-02,1019
2018-07-09,1281
2018-07-16,1290
2018-07-23,1243
2018-07-30,1145
2018-08-06,1004
2018-08-13,758
2018-08-20,838
2018-08-27,651
2018-09-03,626
2018-09-10,783
2018-09-17,662
2018-09-24,840
2018-10-01,821
2018-10-08,636
2018-10-15,741
2018-10-22,703
2018-10-29,606
2018-11-05,656
2018-11-12,630
2018-11-19,663
2018-11-26,1134
2018-12-03,606
2018-12-10,673
2018-12-17,672
2018-12-24,566
2018-12-31,487
2019-01-07,848
2019-01-14,721
2019-01-21,828
2019-01-28,945
2019-02-04,890
2019-02-11,949
2019-02-18,736
2019-02-25,617
2019-03-04,603
2019-03-11,534
2019-03-18,461
2019-03-25,534
2019-04-01,660
2019-04-08,725
2019-04-15,487
2019-04-22,570
2019-04-29,706
2019-05-06,571
2019-05-13,625
2019-05-20,649
2019-05-27,602
2019-06-03,623
2019-06-10,713
2019-06-17,771
2019-06-24,739
2019-07-01,810
2019-07-08,1198
2019-07-15,1286
2019-07-22,1094
2019-07-29,1080
2019-08-05,975
2019-08-12,904
2019-08-19,628
2019-08-26,773
2019-09-02,540
2019-09-09,741
2019-09-16,604
2019-09-23,565
2019-09-30,740
2019-10-07,753
2019-10-14,849
2019-10-21,799
2019-10-28,685
2019-11-04,715
2019-11-11,539
2019-11-18,521
2019-11-25,610
2019-12-02,1049
2019-12-09,491
2019-12-16,639
2019-12-23,651
2019-12-30,400
