time,qty
2016-01-04,120
2016-01-11,785
2016-01-18,526
2016-01-25,674
2016-02-01,991
2016-02-08,895
2016-02-15,908
2016-02-22,843
2016-02-29,910
2016-03-07,605
2016-03-14,438
2016-03-21,334
2016-03-28,224
2016-04-04,342
2016-04-11,372
2016-04-18,292
2016-04-25,295
2016-05-02,293
2016-05-09,362
2016-05-16,275
2016-05-23,319
2016-05-30,349
2016-06-06,312
2016-06-13,330
2016-06-20,361
2016-06-27,472
2016-07-04,681
2016-07-11,600
2016-07-18,882
2016-07-25,537
2016-08-01,573
2016-08-08,778
2016-08-15,388
2016-08-22,331
2016-08-29,442
2016-09-05,339
2016-09-12,288
2016-09-19,269
2016-09-26,231
2016-10-03,242
2016-10-10,278
2016-10-17,284
2016-10-24,281
2016-10-31,295
2016-11-07,210
2016-11-14,241
2016-11-21,246
2016-11-28,442
2016-12-05,243
2016-12-12,352
2016-12-19,524
2016-12-26,431
2017-01-02,483
2017-01-09,620
2017-01-16,774
2017-01-23,877
2017-01-30,987
2017-02-06,882
2017-02-13,981
2017-02-20,935
2017-02-27,714
2017-03-06,990
2017-03-13,492
2017-03-20,338
2017-03-27,363
2017-04-03,305
2017-04-10,292
2017-04-17,267
2017-04-24,270
2017-05-01,327
2017-05-08,334
2017-05-15,337
2017-05-22,314
2017-05-29,310
2017-06-05,325
2017-06-12,382
2017-06-19,409
2017-06-26,706
2017-07-03,765
2017-07-10,685
2017-07-17,685
2017-07-24,1269
2017-07-31,1205
2017-08-07,1105
2017-08-14,671
2017-08-21,387
2017-08-28,715
2017-09-04,568
2017-09-11,382
2017-09-18,341
2017-09-25,326
2017-10-02,307
2017-10-09,270
2017-10-16,283
2017-10-23,322
2017-10-30,360
2017-11-06,311
2017-11-13,401
2017-11-20,386
2017-11-27,685
2017-12-04,302
2017-12-11,366
2017-12-18,569
2017-12-25,540
2018-01-01,332
2018-01-08,613
2018-01-15,597
2018-01-22,791
2018-01-29,863
2018-02-05,983
2018-02-12,796
2018-02-19,763
2018-02-26,576
2018-03-05,703
2018-03-12,565
2018-03-19,457
2018-03-26,270
2018-04-02,308
2018-04-09,292
2018-04-16,347
2018-04-23,400
2018-04-30,310
2018-05-07,300
2018-05-14,404
2018-05-21,352
2018-05-28,411
2018-06-04,397
2018-06-11,415
2018-06-18,392
2018-06-25,363
2018-07-02,519
2018-07-09,618
2018-07-16,540
2018-07-23,666
2018-07-30,702
2018-08-06,593
2018-08-13,481
2018-08-20,281
2018-08-27,313
2018-09-03,387
2018-09-10,279
2018-09-17,262
2018-09-24,177
2018-10-01,263
2018-10-08,284
2018-10-15,291
2018-10-22,291
2018-10-29,278
2018-11-05,255
2018-11-12,308
2018-11-19,357
2018-11-26,798
2018-12-03,252
2018-12-10,327
2018-12-17,426
2018-12-24,644
2018-12-31,245
2019-01-07,702
2019-01-14,527
2019-01-21,703
2019-01-28,848
2019-02-04,900
2019-02-11,1036
2019-02-18,818
2019-02-25,613
2019-03-04,585
2019-03-11,395
2019-03-18,256
2019-03-25,253
2019-04-01,292
2019-04-08,298
2019-04-15,297
2019-04-22,266
2019-04-29,267
2019-05-06,205
2019-05-13,317
2019-05-20,257
2019-05-27,295
2019-06-03,356
2019-06-10,330
2019-06-17,348
2019-06-24,289
2019-07-01,495
2019-07-08,588
2019-07-15,602
2019-07-22,818
2019-07-29,656
2019-08-05,712
2019-08-12,634
2019-08-19,284
2019-08-26,300
2019-09-02,362
2019-09-09,664
2019-09-16,278
2019-09-23,247
2019-09-30,266
2019-10-07,293
2019-10-14,292
2019-10-21,307
2019-10-28,334
2019-11-04,258
2019-11-11,252
2019-11-18,269
2019-11-25,267
2019-12-02,688
2019-12-09,274
2019-12-16,358
2019-12-23,504
2019-12-30,277
