time,qty
2016-01-04,115
2016-01-11,636
2016-01-18,485
2016-01-25,455
2016-02-01,642
2016-02-08,742
2016-02-15,795
2016-02-22,710
2016-02-29,864
2016-03-07,440
2016-03-14,313
2016-03-21,269
2016-03-28,170
2016-04-04,231
2016-04-11,203
2016-04-18,213
2016-04-25,236
2016-05-02,204
2016-05-09,285
2016-05-16,290
2016-05-23,257
2016-05-30,279
2016-06-06,208
2016-06-13,237
2016-06-20,261
2016-06-27,379
2016-07-04,569
2016-07-11,471
2016-07-18,615
2016-07-25,388
2016-08-01,485
2016-08-08,630
2016-08-15,335
2016-08-22,284
2016-08-29,444
2016-09-05,309
2016-09-12,264
2016-09-19,184
2016-09-26,201
2016-10-03,182
2016-10-10,230
2016-10-17,177
2016-10-24,231
2016-10-31,219
2016-11-07,202
2016-11-14,206
2016-11-21,192
2016-11-28,404
2016-12-05,267
2016-12-12,306
2016-12-19,489
2016-12-26,443
2017-01-02,400
2017-01-09,546
2017-01-16,708
2017-01-23,672
2017-01-30,747
2017-02-06,875
2017-02-13,902
2017-02-20,854
2017-02-27,657
2017-03-06,1145
2017-03-13,308
2017-03-20,200
2017-03-27,288
2017-04-03,178
2017-04-10,250
2017-04-17,192
2017-04-24,258
2017-05-01,222
2017-05-08,256
2017-05-15,302
2017-05-22,282
2017-05-29,283
2017-06-05,244
2017-06-12,291
2017-06-19,257
2017-06-26,434
2017-07-03,550
2017-07-10,575
2017-07-17,563
2017-07-24,966
2017-07-31,862
2017-08-07,1064
2017-08-14,725
2017-08-21,464
2017-08-28,629
2017-09-04,326
2017-09-11,228
2017-09-18,200
2017-09-25,257
2017-10-02,216
2017-10-09,217
2017-10-16,215
2017-10-23,279
2017-10-30,282
2017-11-06,208
2017-11-13,232
2017-11-20,192
2017-11-27,582
2017-12-04,242
2017-12-11,313
2017-12-18,404
2017-12-25,428
2018-01-01,271
2018-01-08,595
2018-01-15,369
2018-01-22,645
2018-01-29,697
2018-02-05,884
2018-02-12,713
2018-02-19,811
2018-02-26,532
2018-03-05,831
2018-03-12,536
2018-03-19,500
2018-03-26,342
2018-04-02,248
2018-04-09,303
2018-04-16,313
2018-04-23,352
2018-04-30,371
2018-05-07,237
2018-05-14,379
2018-05-21,339
2018-05-28,395
2018-06-04,357
2018-06-11,396
2018-06-18,363
2018-06-25,284
2018-07-02,466
2018-07-09,611
2018-07-16,544
2018-07-23,646
2018-07-30,549
2018-08-06,570
2018-08-13,441
2018-08-20,243
2018-08-27,278
2018-09-03,423
2018-09-10,274
2018-09-17,230
2018-09-24,174
2018-10-01,257
2018-10-08,188
2018-10-15,271
2018-10-22,242
2018-10-29,229
2018-11-05,182
2018-11-12,327
2018-11-19,238
2018-11-26,714
2018-12-03,271
2018-12-10,313
2018-12-17,365
2018-12-24,647
2018-12-31,306
2019-01-07,649
2019-01-14,498
2019-01-21,524
2019-01-28,725
2019-02-04,771
2019-02-11,843
2019-02-18,881
2019-02-25,691
2019-03-04,510
2019-03-11,538
2019-03-18,349
2019-03-25,239
2019-04-01,243
2019-04-08,282
2019-04-15,258
2019-04-22,291
2019-04-29,237
2019-05-06,218
2019-05-13,348
2019-05-20,272
2019-05-27,335
2019-06-03,330
2019-06-10,443
2019-06-17,291
2019-06-24,339
2019-07-01,416
2019-07-08,481
2019-07-15,510
2019-07-22,459
2019-07-29,639
2019-08-05,522
2019-08-12,542
2019-08-19,240
2019-08-26,272
2019-09-02,297
2019-09-09,404
2019-09-16,226
2019-09-23,226
2019-09-30,193
2019-10-07,231
2019-10-14,299
2019-10-21,231
2019-10-28,237
2019-11-04,212
2019-11-11,275
2019-11-18,211
2019-11-25,244
2019-12-02,670
2019-12-09,238
2019-12-16,325
2019-12-23,561
2019-12-30,283
