time,qty
2017-10-30,530
2017-11-06,552
2017-11-13,357
2017-11-20,338
2017-11-27,619
2017-12-04,349
2017-12-11,409
2017-12-18,530
2017-12-25,578
2018-01-01,329
2018-01-08,578
2018-01-15,391
2018-01-22,650
2018-01-29,558
2018-02-05,544
2018-02-12,475
2018-02-19,448
2018-02-26,433
2018-03-05,329
2018-03-12,227
2018-03-19,254
2018-03-26,302
2018-04-02,287
2018-04-09,401
2018-04-16,379
2018-04-23,375
2018-04-30,448
2018-05-07,374
2018-05-14,399
2018-05-21,288
2018-05-28,313
2018-06-04,348
2018-06-11,443
2018-06-18,419
2018-06-25,387
2018-07-02,535
2018-07-09,655
2018-07-16,784
2018-07-23,785
2018-07-30,790
2018-08-06,677
2018-08-13,548
2018-08-20,440
2018-08-27,413
2018-09-03,386
2018-09-10,251
2018-09-17,269
2018-09-24,259
2018-10-01,245
2018-10-08,341
2018-10-15,283
2018-10-22,239
2018-10-29,290
2018-11-05,342
2018-11-12,349
2018-11-19,294
2018-11-26,782
2018-12-03,332
2018-12-10,423
2018-12-17,529
2018-12-24,766
2018-12-31,301
2019-01-07,743
2019-01-14,614
2019-01-21,774
2019-01-28,696
2019-02-04,617
2019-02-11,656
2019-02-18,483
2019-02-25,377
2019-03-04,292
2019-03-11,259
2019-03-18,228
2019-03-25,213
2019-04-01,274
2019-04-08,289
2019-04-15,315
2019-04-22,259
2019-04-29,342
2019-05-06,337
2019-05-13,300
2019-05-20,333
2019-05-27,313
2019-06-03,396
2019-06-10,405
2019-06-17,256
2019-06-24,361
2019-07-01,513
2019-07-08,710
2019-07-15,630
2019-07-22,575
2019-07-29,736
2019-08-05,581
2019-08-12,532
2019-08-19,343
2019-08-26,437
2019-09-02,275
2019-09-09,271
2019-09-16,207
2019-09-23,292
2019-09-30,335
2019-10-07,343
2019-10-14,298
2019-10-21,369
2019-10-28,301
2019-11-04,424
2019-11-11,340
2019-11-18,350
2019-11-25,270
2019-12-02,879
2019-12-09,322
2019-12-16,485
2019-12-23,650
2019-12-30,375
