time,qty
2016-01-04,318
2016-01-11,1262
2016-01-18,896
2016-01-25,755
2016-02-01,838
2016-02-08,857
2016-02-15,843
2016-02-22,660
2016-02-29,647
2016-03-07,480
2016-03-14,400
2016-03-21,514
2016-03-28,425
2016-04-04,462
2016-04-11,474
2016-04-18,562
2016-04-25,537
2016-05-02,633
2016-05-09,562
2016-05-16,512
2016-05-23,547
2016-05-30,455
2016-06-06,564
2016-06-13,443
2016-06-20,458
2016-06-27,513
2016-07-04,867
2016-07-11,1096
2016-07-18,1024
2016-07-25,892
2016-08-01,871
2016-08-08,783
2016-08-15,612
2016-08-22,544
2016-08-29,504
2016-09-05,362
2016-09-12,344
2016-09-19,362
2016-09-26,314
2016-10-03,379
2016-10-10,495
2016-10-17,470
2016-10-24,440
2016-10-31,439
2016-11-07,374
2016-11-14,407
2016-11-21,427
2016-11-28,528
2016-12-05,335
2016-12-12,601
2016-12-19,967
2016-12-26,579
2017-01-02,525
2017-01-09,1034
2017-01-16,1044
2017-01-23,903
2017-01-30,933
2017-02-06,1289
2017-02-13,1034
2017-02-20,903
2017-02-27,741
2017-03-06,824
2017-03-13,504
2017-03-20,380
2017-03-27,359
2017-04-03,408
2017-04-10,384
2017-04-17,315
2017-04-24,451
2017-05-01,628
2017-05-08,442
2017-05-15,413
2017-05-22,411
2017-05-29,542
2017-06-05,621
2017-06-12,529
2017-06-19,468
2017-06-26,668
2017-07-03,778
2017-07-10,802
2017-07-17,876
2017-07-24,1292
2017-07-31,1081
2017-08-07,1209
2017-08-14,861
2017-08-21,415
2017-08-28,438
2017-09-04,252
2017-09-11,334
2017-09-18,380
2017-09-25,426
2017-10-02,382
2017-10-09,339
2017-10-16,349
2017-10-23,400
2017-10-30,406
2017-11-06,438
2017-11-13,397
2017-11-20,393
2017-11-27,812
2017-12-04,405
2017-12-11,515
2017-12-18,744
2017-12-25,687
2018-01-01,394
2018-01-08,794
2018-01-15,714
2018-01-22,937
2018-01-29,910
2018-02-05,998
2018-02-12,636
2018-02-19,723
2018-02-26,521
2018-03-05,475
2018-03-12,377
2018-03-19,364
2018-03-26,363
2018-04-02,315
2018-04-09,464
2018-04-16,613
2018-04-23,525
2018-04-30,535
2018-05-07,642
2018-05-14,644
2018-05-21,570
2018-05-28,460
2018-06-04,559
2018-06-11,462
2018-06-18,500
2018-06-25,521
2018-07-02,677
2018-07-09,825
2018-07-16,716
2018-07-23,1011
2018-07-30,790
2018-08-06,704
2018-08-13,681
2018-08-20,458
2018-08-27,356
2018-09-03,378
2018-09-10,341
2018-09-17,312
2018-09-24,380
2018-10-01,425
2018-10-08,380
2018-10-15,316
2018-10-22,338
2018-10-29,305
2018-11-05,438
2018-11-12,435
2018-11-19,436
2018-11-26,921
2018-12-03,432
2018-12-10,560
2018-12-17,657
2018-12-24,840
2018-12-31,394
2019-01-07,830
2019-01-14,718
2019-01-21,801
2019-01-28,830
2019-02-04,843
2019-02-11,894
2019-02-18,555
2019-02-25,517
2019-03-04,328
2019-03-11,336
2019-03-18,372
2019-03-25,289
2019-04-01,257
2019-04-08,376
2019-04-15,392
2019-04-22,337
2019-04-29,483
2019-05-06,327
2019-05-13,375
2019-05-20,447
2019-05-27,381
2019-06-03,469
2019-06-10,376
2019-06-17,373
2019-06-24,451
2019-07-01,534
2019-07-08,823
2019-07-15,656
2019-07-22,703
2019-07-29,762
2019-08-05,579
2019-08-12,511
2019-08-19,462
2019-08-26,620
2019-09-02,362
2019-09-09,245
2019-09-16,319
2019-09-23,456
2019-09-30,427
2019-10-07,444
2019-10-14,384
2019-10-21,458
2019-10-28,468
2019-11-04,516
2019-11-11,473
2019-11-18,376
2019-11-25,410
2019-12-02,797
2019-12-09,458
2019-12-16,645
2019-12-23,837
2019-12-30,450
