time,qty
2018-09-17,917
2018-09-24,972
2018-10-01,934
2018-10-08,1175
2018-10-15,950
2018-10-22,874
2018-10-29,851
2018-11-05,1019
2018-11-12,820
2018-11-19,939
2018-11-26,1974
2018-12-03,920
2018-12-10,1097
2018-12-17,1328
2018-12-24,1486
2018-12-31,868
2019-01-07,1528
2019-01-14,1571
2019-01-21,1281
2019-01-28,1208
2019-02-04,1061
2019-02-11,974
2019-02-18,683
2019-02-25,765
2019-03-04,800
2019-03-11,720
2019-03-18,747
2019-03-25,674
2019-04-01,754
2019-04-08,914
2019-04-15,820
2019-04-22,993
2019-04-29,1148
2019-05-06,1037
2019-05-13,1042
2019-05-20,971
2019-05-27,1044
2019-06-03,1009
2019-06-10,1304
2019-06-17,1304
2019-06-24,1180
2019-07-01,1462
2019-07-08,1883
2019-07-15,1904
2019-07-22,1403
2019-07-29,1475
2019-08-05,1285
2019-08-12,906
2019-08-19,709
2019-08-26,760
2019-09-02,755
2019-09-09,905
2019-09-16,771
2019-09-23,869
2019-09-30,950
2019-10-07,984
2019-10-14,996
2019-10-21,1021
2019-10-28,890
2019-11-04,1111
2019-11-11,1016
2019-11-18,931
2019-11-25,902
2019-12-02,1748
2019-12-09,973
2019-12-16,1325
2019-12-23,1561
2019-12-30,941
