time,qty
2017-05-15,675
2017-05-22,736
2017-05-29,809
2017-06-05,826
2017-06-12,679
2017-06-19,729
2017-06-26,845
2017-07-03,1159
2017-07-10,1064
2017-07-17,952
2017-07-24,1333
2017-07-31,1122
2017-08-07,1113
2017-08-14,699
2017-08-21,461
2017-08-28,579
2017-09-04,440
2017-09-11,446
2017-09-18,415
2017-09-25,495
2017-10-02,530
2017-10-09,510
2017-10-16,445
2017-10-23,420
2017-10-30,396
2017-11-06,435
2017-11-13,477
2017-11-20,376
2017-11-27,752
2017-12-04,503
2017-12-11,602
2017-12-18,786
2017-12-25,840
2018-01-01,566
2018-01-08,979
2018-01-15,805
2018-01-22,1077
2018-01-29,935
2018-02-05,959
2018-02-12,783
2018-02-19,784
2018-02-26,659
2018-03-05,628
2018-03-12,515
2018-03-19,527
2018-03-26,505
2018-04-02,399
2018-04-09,627
2018-04-16,542
2018-04-23,590
2018-04-30,642
2018-05-07,437
2018-05-14,536
2018-05-21,530
2018-05-28,480
2018-06-04,599
2018-06-11,565
2018-06-18,663
2018-06-25,486
2018-07-02,720
2018-07-09,1011
2018-07-16,1019
2018-07-23,1023
2018-07-30,1072
2018-08-06,1059
2018-08-13,881
2018-08-20,664
2018-08-27,682
2018-09-03,551
2018-09-10,557
2018-09-17,469
2018-09-24,445
2018-10-01,484
2018-10-08,537
2018-10-15,514
2018-10-22,482
2018-10-29,477
2018-11-05,582
2018-11-12,617
2018-11-19,554
2018-11-26,1136
2018-12-03,494
2018-12-10,721
2018-12-17,814
2018-12-24,1032
2018-12-31,518
2019-01-07,1067
2019-01-14,962
2019-01-21,977
2019-01-28,915
2019-02-04,883
2019-02-11,957
2019-02-18,858
2019-02-25,716
2019-03-04,610
2019-03-11,479
2019-03-18,469
2019-03-25,533
2019-04-01,492
2019-04-08,477
2019-04-15,568
2019-04-22,390
2019-04-29,646
2019-05-06,668
2019-05-13,623
2019-05-20,574
2019-05-27,594
2019-06-03,600
2019-06-10,655
2019-06-17,554
2019-06-24,556
2019-07-01,938
2019-07-08,1222
2019-07-15,939
2019-07-22,1177
2019-07-29,1133
2019-08-05,933
2019-08-12,879
2019-08-19,591
2019-08-26,672
2019-09-02,549
2019-09-09,541
2019-09-16,595
2019-09-23,624
2019-09-30,536
2019-10-07,596
2019-10-14,716
2019-10-21,725
2019-10-28,588
2019-11-04,758
2019-11-11,575
2019-11-18,550
2019-11-25,617
2019-12-02,1429
2019-12-09,660
2019-12-16,1019
2019-12-23,1177
2019-12-30,720
