time,qty
2016-01-04,242
2016-01-11,956
2016-01-18,705
2016-01-25,542
2016-02-01,689
2016-02-08,604
2016-02-15,566
2016-02-22,398
2016-02-29,456
2016-03-07,324
2016-03-14,339
2016-03-21,286
2016-03-28,324
2016-04-04,434
2016-04-11,393
2016-04-18,479
2016-04-25,495
2016-05-02,451
2016-05-09,455
2016-05-16,446
2016-05-23,438
2016-05-30,435
2016-06-06,426
2016-06-13,431
2016-06-20,394
2016-06-27,568
2016-07-04,824
2016-07-11,700
2016-07-18,744
2016-07-25,696
2016-08-01,631
2016-08-08,586
2016-08-15,527
2016-08-22,434
2016-08-29,496
2016-09-05,351
2016-09-12,334
2016-09-19,418
2016-09-26,284
2016-10-03,315
2016-10-10,384
2016-10-17,434
2016-10-24,405
2016-10-31,341
2016-11-07,369
2016-11-14,320
2016-11-21,332
2016-11-28,504
2016-12-05,373
2016-12-12,548
2016-12-19,756
2016-12-26,604
2017-01-02,585
2017-01-09,990
2017-01-16,774
2017-01-23,738
2017-01-30,646
2017-02-06,641
2017-02-13,763
2017-02-20,592
2017-02-27,501
2017-03-06,745
2017-03-13,525
2017-03-20,340
2017-03-27,387
2017-04-03,339
2017-04-10,311
2017-04-17,318
2017-04-24,444
2017-05-01,418
2017-05-08,369
2017-05-15,393
2017-05-22,390
2017-05-29,499
2017-06-05,462
2017-06-12,439
2017-06-19,407
2017-06-26,491
2017-07-03,636
2017-07-10,676
2017-07-17,687
2017-07-24,862
2017-07-31,908
2017-08-07,981
2017-08-14,674
2017-08-21,389
2017-08-28,439
2017-09-04,334
2017-09-11,317
2017-09-18,317
2017-09-25,329
2017-10-02,324
2017-10-09,276
2017-10-16,329
2017-10-23,363
2017-10-30,328
2017-11-06,374
2017-11-13,375
2017-11-20,371
2017-11-27,681
2017-12-04,373
2017-12-11,484
2017-12-18,520
2017-12-25,668
2018-01-01,535
2018-01-08,807
2018-01-15,553
2018-01-22,684
2018-01-29,673
2018-02-05,726
2018-02-12,695
2018-02-19,755
2018-02-26,437
2018-03-05,474
2018-03-12,337
2018-03-19,350
2018-03-26,321
2018-04-02,318
2018-04-09,361
2018-04-16,452
2018-04-23,323
2018-04-30,466
2018-05-07,450
2018-05-14,414
2018-05-21,404
2018-05-28,379
2018-06-04,387
2018-06-11,424
2018-06-18,382
2018-06-25,389
2018-07-02,572
2018-07-09,737
2018-07-16,772
2018-07-23,749
2018-07-30,721
2018-08-06,735
2018-08-13,637
2018-08-20,484
2018-08-27,462
2018-09-03,471
2018-09-10,486
2018-09-17,313
2018-09-24,305
2018-10-01,307
2018-10-08,420
2018-10-15,366
2018-10-22,295
2018-10-29,291
2018-11-05,388
2018-11-12,398
2018-11-19,357
2018-11-26,863
2018-12-03,369
2018-12-10,419
2018-12-17,615
2018-12-24,857
2018-12-31,416
2019-01-07,804
2019-01-14,733
2019-01-21,696
2019-01-28,704
2019-02-04,742
2019-02-11,666
2019-02-18,534
2019-02-25,477
2019-03-04,383
2019-03-11,337
2019-03-18,370
2019-03-25,305
2019-04-01,360
2019-04-08,451
2019-04-15,411
2019-04-22,354
2019-04-29,503
2019-05-06,420
2019-05-13,407
2019-05-20,388
2019-05-27,382
2019-06-03,378
2019-06-10,382
2019-06-17,436
2019-06-24,351
2019-07-01,571
2019-07-08,910
2019-07-15,688
2019-07-22,669
2019-07-29,712
2019-08-05,623
2019-08-12,665
2019-08-19,406
2019-08-26,386
2019-09-02,324
2019-09-09,285
2019-09-16,399
2019-09-23,416
2019-09-30,382
2019-10-07,471
2019-10-14,455
2019-10-21,483
2019-10-28,485
2019-11-04,444
2019-11-11,369
2019-11-18,374
2019-11-25,373
2019-12-02,929
2019-12-09,403
2019-12-16,595
2019-12-23,893
2019-12-30,568
